Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;source_sheet_name;extraction_source_url;ingestion_timestamp;source_file_name
69;RHONE;1;Affoux;250;26;10.4;224;89.6;17;6.8;7.59;207;82.8;92.41;M;HOLLANDE;François;58;23.2;28.02;M;SARKOZY;Nicolas;149;59.6;71.98;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;2;Aigueperse;224;43;19.2;181;80.8;19;8.48;10.5;162;72.32;89.5;M;HOLLANDE;François;33;14.73;20.37;M;SARKOZY;Nicolas;129;57.59;79.63;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;3;Albigny-sur-Saône;1583;263;16.61;1320;83.39;62;3.92;4.7;1258;79.47;95.3;M;HOLLANDE;François;507;32.03;40.3;M;SARKOZY;Nicolas;751;47.44;59.7;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;4;Alix;417;58;13.91;359;86.09;27;6.47;7.52;332;79.62;92.48;M;HOLLANDE;François;146;35.01;43.98;M;SARKOZY;Nicolas;186;44.6;56.02;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;5;Ambérieux;389;59;15.17;330;84.83;20;5.14;6.06;310;79.69;93.94;M;HOLLANDE;François;92;23.65;29.68;M;SARKOZY;Nicolas;218;56.04;70.32;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;6;Amplepuis;3664;721;19.68;2943;80.32;183;4.99;6.22;2760;75.33;93.78;M;HOLLANDE;François;1144;31.22;41.45;M;SARKOZY;Nicolas;1616;44.1;58.55;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;7;Ampuis;1917;281;14.66;1636;85.34;92;4.8;5.62;1544;80.54;94.38;M;HOLLANDE;François;577;30.1;37.37;M;SARKOZY;Nicolas;967;50.44;62.63;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;8;Ancy;444;44;9.91;400;90.09;22;4.95;5.5;378;85.14;94.5;M;HOLLANDE;François;135;30.41;35.71;M;SARKOZY;Nicolas;243;54.73;64.29;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;9;Anse;4004;592;14.79;3412;85.21;176;4.4;5.16;3236;80.82;94.84;M;HOLLANDE;François;1462;36.51;45.18;M;SARKOZY;Nicolas;1774;44.31;54.82;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;10;L'Arbresle;3858;732;18.97;3126;81.03;165;4.28;5.28;2961;76.75;94.72;M;HOLLANDE;François;1578;40.9;53.29;M;SARKOZY;Nicolas;1383;35.85;46.71;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
