Libellé de la commune;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Voix_1;Voix_2;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;% Abs/Ins;% Vot/Ins;% Blancs/Ins;% Blancs/Vot;% Nuls/Ins;% Nuls/Vot;% Exp/Ins;% Exp/Vot;% Voix/Ins_1;% Voix/Exp_1;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
Affoux;69;Rhône;08;8ème circonscription;257.0;39.0;218.0;20.0;7.0;191.0;93.0;98.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;15.18;84.82;7.78;9.17;2.72;3.21;74.32;87.61;36.19;48.69;38.13;51.31;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Aigueperse;69;Rhône;09;9ème circonscription;224.0;51.0;173.0;13.0;11.0;149.0;84.0;65.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;22.77;77.23;5.8;7.51;4.91;6.36;66.52;86.13;37.5;56.38;29.02;43.62;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Albigny-sur-Saône;69;Rhône;05;5ème circonscription;1665.0;402.0;1263.0;110.0;26.0;1127.0;775.0;352.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;24.14;75.86;6.61;8.71;1.56;2.06;67.69;89.23;46.55;68.77;21.14;31.23;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Alix;69;Rhône;09;9ème circonscription;455.0;95.0;360.0;42.0;4.0;314.0;204.0;110.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.88;79.12;9.23;11.67;0.88;1.11;69.01;87.22;44.84;64.97;24.18;35.03;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Ambérieux;69;Rhône;09;9ème circonscription;420.0;69.0;351.0;35.0;10.0;306.0;136.0;170.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.43;83.57;8.33;9.97;2.38;2.85;72.86;87.18;32.38;44.44;40.48;55.56;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Amplepuis;69;Rhône;08;8ème circonscription;3591.0;830.0;2761.0;257.0;82.0;2422.0;1419.0;1003.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;23.11;76.89;7.16;9.31;2.28;2.97;67.45;87.72;39.52;58.59;27.93;41.41;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Ampuis;69;Rhône;11;11ème circonscription;1994.0;361.0;1633.0;153.0;45.0;1435.0;811.0;624.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;18.1;81.9;7.67;9.37;2.26;2.76;71.97;87.88;40.67;56.52;31.29;43.48;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Ancy;69;Rhône;08;8ème circonscription;464.0;61.0;403.0;43.0;10.0;350.0;218.0;132.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;13.15;86.85;9.27;10.67;2.16;2.48;75.43;86.85;46.98;62.29;28.45;37.71;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Anse;69;Rhône;09;9ème circonscription;4571.0;978.0;3593.0;304.0;81.0;3208.0;2181.0;1027.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.4;78.6;6.65;8.46;1.77;2.25;70.18;89.28;47.71;67.99;22.47;32.01;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Arnas;69;Rhône;09;9ème circonscription;2644.0;592.0;2052.0;166.0;35.0;1851.0;1063.0;788.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;22.39;77.61;6.28;8.09;1.32;1.71;70.01;90.2;40.2;57.43;29.8;42.57;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Aveize;69;Rhône;10;10ème circonscription;786.0;139.0;647.0;42.0;11.0;594.0;387.0;207.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;17.68;82.32;5.34;6.49;1.4;1.7;75.57;91.81;49.24;65.15;26.34;34.85;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
