Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
69;Rhône;001;Affoux;Complet;316;49;15.51;267;84.49;21;6.65;7.87;9;2.85;3.37;237;75;88.76;1;M;MACRON;Emmanuel;98;31.01;41.35;2;F;LE PEN;Marine;139;43.99;58.65;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;002;Aigueperse;Complet;217;47;21.66;170;78.34;9;4.15;5.29;4;1.84;2.35;157;72.35;92.35;1;M;MACRON;Emmanuel;74;34.1;47.13;2;F;LE PEN;Marine;83;38.25;52.87;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;003;Albigny-sur-Saône;Complet;1860;504;27.1;1356;72.9;81;4.35;5.97;18;0.97;1.33;1257;67.58;92.7;1;M;MACRON;Emmanuel;823;44.25;65.47;2;F;LE PEN;Marine;434;23.33;34.53;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;004;Alix;Complet;470;95;20.21;375;79.79;35;7.45;9.33;4;0.85;1.07;336;71.49;89.6;1;M;MACRON;Emmanuel;194;41.28;57.74;2;F;LE PEN;Marine;142;30.21;42.26;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;005;Ambérieux;Complet;407;62;15.23;345;84.77;10;2.46;2.9;3;0.74;0.87;332;81.57;96.23;1;M;MACRON;Emmanuel;151;37.1;45.48;2;F;LE PEN;Marine;181;44.47;54.52;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;006;Amplepuis;Complet;3506;904;25.78;2602;74.22;139;3.96;5.34;53;1.51;2.04;2410;68.74;92.62;1;M;MACRON;Emmanuel;1281;36.54;53.15;2;F;LE PEN;Marine;1129;32.2;46.85;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;007;Ampuis;Complet;2138;457;21.38;1681;78.62;112;5.24;6.66;30;1.4;1.78;1539;71.98;91.55;1;M;MACRON;Emmanuel;784;36.67;50.94;2;F;LE PEN;Marine;755;35.31;49.06;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;008;Ancy;Complet;494;88;17.81;406;82.19;14;2.83;3.45;6;1.21;1.48;386;78.14;95.07;1;M;MACRON;Emmanuel;207;41.9;53.63;2;F;LE PEN;Marine;179;36.23;46.37;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;009;Anse;Complet;5059;1289;25.48;3770;74.52;231;4.57;6.13;76;1.5;2.02;3463;68.45;91.86;1;M;MACRON;Emmanuel;2218;43.84;64.05;2;F;LE PEN;Marine;1245;24.61;35.95;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;010;L'Arbresle;Complet;4172;1154;27.66;3018;72.34;215;5.15;7.12;65;1.56;2.15;2738;65.63;90.72;1;M;MACRON;Emmanuel;1735;41.59;63.37;2;F;LE PEN;Marine;1003;24.04;36.63;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
