Nuance;Libellé;extraction_source_url;ingestion_timestamp;source_file_name
EXG;Extrême gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
COM;Communiste;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
PG;Parti de Gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
SOC;Socialiste;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
RDG;Radical de Gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
DVG;Divers gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
VEC;Europe Ecologie / Les Verts;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
ECO;Ecologiste;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
REG;Régionaliste;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
AUT;Autres;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
MODM;MODEM;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
M-NC;Majorité présidentielle;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
M;Autres candidats majorité présidentielle;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
UMP;Union pour un Mouvement Populaire;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
DVD;Divers droite;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
FN;Front National;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
EXD;Extrême droite;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LEXG;Liste d'extrême-gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LCOP;Liste du PCF et du Parti de gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LSOC;Liste du Parti socialiste;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LDVG;Liste divers gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LVEC;Liste des Verts;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LREG;Liste régionaliste;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LAUT;Autre liste;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LCMD;Liste centre-MoDem;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LMAJ;Liste de la majorité ;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LDVD;Liste divers droite;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LDSV;Liste souverainiste de droite;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LFN;Liste du Front national;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LEXD;Liste d'extrême-droite;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LFG;Liste Front de Gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LPG;Liste du Parti de Gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LCOM;Liste du Parti communiste français;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LUG;Liste Union de la Gauche;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LDIV;Liste Divers;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LMDM;Liste Modem;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
LUC;Liste Union du Centre;https://www.data.gouv.fr/api/1/datasets/r/6fd17a6c-519b-465c-a7fd-ad2955fafc76;2026-03-25T09:13:09.383549;dictionnaire des nuances politiques.csv
