Unnamed: 0;code_insee;nom_standard;nom_sans_pronom;nom_a;nom_de;nom_sans_accent;nom_standard_majuscule;typecom;typecom_texte;reg_code;reg_nom;dep_code;dep_nom;canton_code;canton_nom;epci_code;epci_nom;academie_code;academie_nom;code_postal;codes_postaux;zone_emploi;code_insee_centre_zone_emploi;code_unite_urbaine;nom_unite_urbaine;taille_unite_urbaine;type_commune_unite_urbaine;statut_commune_unite_urbaine;population;superficie_hectare;superficie_km2;densite;altitude_moyenne;altitude_minimale;altitude_maximale;latitude_mairie;longitude_mairie;latitude_centre;longitude_centre;grille_densite;grille_densite_texte;niveau_equipements_services;niveau_equipements_services_texte;gentile;url_wikipedia;url_villedereve;extraction_source_url;ingestion_timestamp;source_file_name
26969;69001;Affoux;Affoux;à Affoux;d'Affoux;affoux;AFFOUX;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6910;Tarare;200040566;CA de l'Ouest Rhodanien;10;Lyon;69170;69170;08430;69243;69000;;0.0;HORS UNITE URBAINE;H;395;1068;11;37.0;750;498.0;960.0;45.845;4.404;45.844;4.414;6;Rural à habitat dispersé;0.0;communes non pôle;Affousiens;https://fr.wikipedia.org/wiki/fr:Affoux;https://villedereve.fr/ville/69001-affoux;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26970;69002;Aigueperse;Aigueperse;à Aigueperse;d'Aigueperse;aigueperse;AIGUEPERSE;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6911;Thizy-les-Bourgs;200067817;CC Saône-Beaujolais;10;Lyon;69790;69790;08434;69264;69000;;0.0;HORS UNITE URBAINE;H;243;1290;13;19.0;489;403.0;610.0;46.277;4.435;46.28;4.423;7;Rural à habitat très dispersé;0.0;communes non pôle;Aiguepersirons;https://fr.wikipedia.org/wiki/fr:Aigueperse (Rhône);https://villedereve.fr/ville/69002-aigueperse;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26971;69003;Albigny-sur-Saône;Albigny-sur-Saône;à Albigny-sur-Saône;d'Albigny-sur-Saône;albigny-sur-saone;ALBIGNY-SUR-SAÔNE;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69250;69250;08421;69123;00760;Lyon;7.0;UNITE URBAINE;B;2991;266;3;1124.0;223;167.0;0.0;45.871;4.832;45.864;4.831;4;Ceintures urbaines;2.0;centres intermédiaires d'équipements et de services;Albignolais;https://fr.wikipedia.org/wiki/fr:Albigny-sur-Saône;https://villedereve.fr/ville/69003-albigny-sur-saone;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26972;69004;Alix;Alix;à Alix;d'Alix;alix;ALIX;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;69301;Val d'Oingt;3.0;UNITE URBAINE;B;766;360;4;213.0;310;258.0;408.0;45.911;4.653;45.917;4.655;6;Rural à habitat dispersé;0.0;communes non pôle;Alixois;https://fr.wikipedia.org/wiki/fr:Alix (Rhône);https://villedereve.fr/ville/69004-alix;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26973;69005;Ambérieux;Ambérieux;à Ambérieux;d'Ambérieux;amberieux;AMBÉRIEUX;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6901;Anse;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69480;69480;08421;69123;00760;Lyon;7.0;UNITE URBAINE;B;607;461;5;132.0;171;167.0;176.0;45.928;4.737;45.929;4.741;4;Ceintures urbaines;1.0;centres locaux d'équipements et de services;Ambarrois, Ambarroises;https://fr.wikipedia.org/wiki/fr:Ambérieux;https://villedereve.fr/ville/69005-amberieux;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26974;69006;Amplepuis;Amplepuis;à Amplepuis;d'Amplepuis;amplepuis;AMPLEPUIS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6911;Thizy-les-Bourgs;200040566;CA de l'Ouest Rhodanien;10;Lyon;69550;69550;08430;69243;69111;Amplepuis;1.0;UNITE URBAINE;I;4840;3875;39;125.0;522;336.0;868.0;45.973;4.332;45.965;4.327;5;Bourgs ruraux;2.0;centres intermédiaires d'équipements et de services;Amplepuisiens;https://fr.wikipedia.org/wiki/fr:Amplepuis;https://villedereve.fr/ville/69006-amplepuis;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26975;69007;Ampuis;Ampuis;à Ampuis;d'Ampuis;ampuis;AMPUIS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6908;Mornant;200077014;CA Vienne Condrieu;10;Lyon;69420;69420;08433;38544;00559;Vienne;5.0;UNITE URBAINE;B;2751;1547;15;178.0;310;145.0;536.0;45.489;4.81;45.503;4.803;5;Bourgs ruraux;1.0;centres locaux d'équipements et de services;Ampuisais, Ampuisaise;https://fr.wikipedia.org/wiki/fr:Ampuis;https://villedereve.fr/ville/69007-ampuis;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26976;69008;Ancy;Ancy;à Ancy;d'Ancy;ancy;ANCY;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6910;Tarare;200040566;CA de l'Ouest Rhodanien;10;Lyon;69490;69490;08430;69243;69000;;0.0;HORS UNITE URBAINE;H;677;1188;12;57.0;597;394.0;852.0;45.838;4.509;45.832;4.504;6;Rural à habitat dispersé;0.0;communes non pôle;Ancéen, Ancéenne;https://fr.wikipedia.org/wiki/fr:Ancy;https://villedereve.fr/ville/69008-ancy;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26977;69009;Anse;Anse;à Anse;d'Anse;anse;ANSE;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6901;Anse;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69480;69480;08421;69123;00760;Lyon;7.0;UNITE URBAINE;B;7947;1536;15;517.0;226;167.0;358.0;45.936;4.717;45.942;4.708;2;Centres urbains intermédiaires;2.0;centres intermédiaires d'équipements et de services;Ansois;https://fr.wikipedia.org/wiki/fr:Anse (Rhône);https://villedereve.fr/ville/69009-anse;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26978;69010;L'Arbresle;Arbresle;à Arbresle;de l'Arbresle;l-arbresle;L'ARBRESLE;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69210;69591, 69592, 69593, 69596, 69210;08421;69123;69401;L'Arbresle;4.0;UNITE URBAINE;C;6453;331;3;1950.0;260;212.0;304.0;45.835;4.615;45.836;4.609;2;Centres urbains intermédiaires;3.0;centres structurants d'équipements et de services;Arbreslois;https://fr.wikipedia.org/wiki/fr:L'Arbresle;https://villedereve.fr/ville/69010-l-arbresle;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
26979;69012;Les Ardillats;Ardillats;aux Ardillats;des Ardillats;les-ardillats;LES ARDILLATS;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69430;69430;08434;69264;69000;;0.0;HORS UNITE URBAINE;H;603;2286;23;26.0;583;334.0;1004.0;46.179;4.542;46.189;4.536;7;Rural à habitat très dispersé;0.0;communes non pôle;;https://fr.wikipedia.org/wiki/fr:Les Ardillats;https://villedereve.fr/ville/69012-les-ardillats;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18T14:30:18.054404;liste_communes_france.csv
