CODGEO,LIBGEO,NBMENFISC14,NBPERSMENFISC14,MED14,PIMP14,TP6014,TP60AGE114,TP60AGE214,TP60AGE314,TP60AGE414,TP60AGE514,TP60AGE614,TP60TOL114,TP60TOL214,PRA14,PTSAC14,PBEN14,PPEN14,PPAT14,PPSOC14,PPFAM14,PPMINI14,PPLOGT14,PIMPOT14,D114,D914,RD14,year,extraction_source_url,ingestion_timestamp,source_file_name
69001,Affoux,124,361.5,21462.8571428571,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69002,Aigueperse,113,234,18494.5,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69003,Albigny-sur-Saône,958,2368,23454.7619047619,68,11,,,,,,,,,79.6,75.4,4.2,24.8,11.2,4.1,2.1,1,1,-19.7,12005.9259259259,43868.6666666667,3.6539178183613,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69004,Alix,251,672.5,23311.914893617,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69005,Ambérieux,200,583.5,22403,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69006,Amplepuis,2111,4828,18611.2,47,13,,,18,,,,7,23,62.5,56.7,5.8,34.3,10.3,6.7,2.9,1.8,1.9,-13.8,11287,29752,2.63595286612918,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69007,Ampuis,1098,2650,23680.9523809524,70,,,,,,,,,,82.2,70.3,11.9,22.4,12.5,2.8,1.9,0.6,0.4,-19.9,13922.4583333333,39414.6666666667,2.83101344051428,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69008,Ancy,232,630,21154.2857142857,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69009,Anse,2596,6813,22430,64,8,,,,,,,,17,81,77.4,3.6,21.6,9,4.6,2.8,0.8,1,-16.2,13234.2857142857,35830,2.70736183074266,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69010,L'Arbresle,2561,6153.5,20812,59,12,,,13,,,,,23,76.8,73.9,2.9,25.1,7.3,5.8,2.8,1.5,1.5,-15,11515,33835.5555555556,2.93838954021325,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69012,Les Ardillats,240,625.5,20901.25,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69013,Arnas,1372,3595,22340.4347826087,67,8,,,,,,,,,73.2,69.8,3.4,27.3,11.9,4.1,2.6,0.6,0.8,-16.5,12782.8571428571,37859.3333333333,2.96172701534794,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69014,Aveize,391,1004.5,20327,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69016,Azolette,49,121.5,20320,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69017,Bagnols,282,747.5,24308.5714285714,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69018,Beaujeu,849,1816.5,18781.3333333333,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69019,Belleville,3417,7836,18622.5,50,17,,19,19,18,,,7,25,72.2,68.7,3.5,25.9,7.1,7.9,3.2,2.2,2.4,-13.1,10584.6428571429,30518.3333333333,2.88326528775967,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69020,Belmont-d'Azergues,226,641,23682.6666666667,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69021,Bessenay,872,2204.5,22089,61,,,,,,,,,,75.4,68.5,6.9,25.5,12,3.7,2.6,0.4,0.7,-16.6,13170,35511.4285714286,2.69638789456557,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69022,Bibost,208,562,21459.3333333333,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69023,Blacé,577,1565.5,23602.6086956522,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69024,Le Bois-d'Oingt,978,2379.5,23156.8,65,,,,,,,,,,72.6,67,5.6,28.7,11.1,3.8,2.2,0.8,0.8,-16.2,13311,38245,2.87318758921193,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
69026,Le Breuil,180,498,24046.7857142857,,,,,,,,,,,,,,,,,,,,,,,,2014,https://www.insee.fr/fr/statistiques/fichier/3126432/filo-revenu-pauvrete-menage-2014.zip,2026-04-01T19:29:55.428669,INSEE_FILOSOFI_2014
