CODGEO,LIBGEO,NBMENFISC15,NBPERSMENFISC15,MED15,PIMP15,TP6015,TP60AGE115,TP60AGE215,TP60AGE315,TP60AGE415,TP60AGE515,TP60AGE615,TP60TOL115,TP60TOL215,PACT15,PTSA15,PCHO15,PBEN15,PPEN15,PPAT15,PPSOC15,PPFAM15,PPMINI15,PPLOGT15,PIMPOT15,D115,D915,RD15,year,extraction_source_url,ingestion_timestamp,source_file_name
69001,Affoux,132,375,21606.5384615385,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69002,Aigueperse,116,243,19841,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69003,Albigny-sur-Saône,958,2376,23293.3333333333,63,12,,,,,,,,26,80,72.7,3.2,4.2,24.2,10.8,4.4,2.2,1.1,1.1,-19.4,11759.5833333333,44295.3333333333,3.76674343620451,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69004,Alix,250,686.5,24259.5,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69005,Ambérieux,206,596,24899.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69006,Amplepuis,2128,4774.5,18492.4,45,14,,,,,,,7,25,62.8,54.6,2.9,5.3,34.4,9.9,6.8,2.9,1.9,2,-13.9,11450,29945.3333333333,2.61531295487627,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69007,Ampuis,1121,2633.5,24097.6,68,,,,,,,,,,80.7,67.2,2.1,11.5,22.7,14.6,2.5,1.6,0.5,0.4,-20.5,14469.2307692308,39624.6666666667,2.73854687223108,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69008,Ancy,240,661.5,21505.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69009,Anse,2643,6926,22404.2619047619,62,7,,,,,,,,16,81.2,74.9,2.9,3.4,22,8.8,4.4,2.6,0.8,1,-16.4,13306.875,36516,2.74414541355502,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69010,L'Arbresle,2576,6143.5,21064.2857142857,56,14,,,14,,,,,26,76.6,70.4,3.4,2.8,25.5,6.9,5.9,2.7,1.7,1.6,-14.9,11190.7142857143,33436.6666666667,2.98789387459841,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69012,Les Ardillats,237,612,20636,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69013,Arnas,1394,3646,22606.7272727273,64,7,,,,,,,,,74.7,68.5,2.6,3.7,26.3,12,3.8,2.4,0.6,0.8,-16.8,13540,37937,2.80184638109306,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69014,Aveize,386,986.5,20748,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69016,Azolette,46,112.5,20057.2,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69017,Bagnols,286,756.5,24524.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
