id_candidat;nom;prenom;sexe
CAND_001;JOLY;Eva;F
CAND_002;LE PEN;Marine;F
CAND_003;SARKOZY;Nicolas;M
CAND_004;MÉLENCHON;Jean-Luc;M
CAND_005;POUTOU;Philippe;M
CAND_006;ARTHAUD;Nathalie;F
CAND_007;CHEMINADE;Jacques;M
CAND_008;BAYROU;François;M
CAND_009;DUPONT-AIGNAN;Nicolas;M
CAND_010;HOLLANDE;François;M
CAND_011;ASSELINEAU;François;M
CAND_012;FILLON;François;M
CAND_013;MACRON;Emmanuel;M
CAND_014;HAMON;Benoît;M
CAND_015;LASSALLE;Jean;M
CAND_016;PÉCRESSE;Valérie;F
CAND_017;ROUSSEL;Fabien;M
CAND_018;ZEMMOUR;Éric;M
CAND_019;HIDALGO;Anne;F
CAND_020;JADOT;Yannick;M
