id_commune;code_departement;libelle_departement;code_commune;libelle_commune
69-1;69;Rhône;1;Affoux
69-2;69;Rhône;2;Aigueperse
69-3;69;Rhône;3;Albigny-sur-Saône
69-4;69;Rhône;4;Alix
69-5;69;Rhône;5;Ambérieux
69-6;69;Rhône;6;Amplepuis
69-7;69;Rhône;7;Ampuis
69-8;69;Rhône;8;Ancy
69-9;69;Rhône;9;Anse
69-10;69;Rhône;10;L'Arbresle
69-12;69;Rhône;12;Les Ardillats
69-13;69;Rhône;13;Arnas
69-14;69;Rhône;14;Aveize
69-15;69;Rhône;15;Avenas
69-16;69;Rhône;16;Azolette
69-17;69;Rhône;17;Bagnols
69-18;69;Rhône;18;Beaujeu
69-19;69;Rhône;19;Belleville
69-20;69;Rhône;20;Belmont-d'Azergues
69-21;69;Rhône;21;Bessenay
69-22;69;Rhône;22;Bibost
69-23;69;Rhône;23;Blacé
69-24;69;Rhône;24;Val d'Oingt
69-26;69;Rhône;26;Le Breuil
69-27;69;Rhône;27;Brignais
69-28;69;Rhône;28;Brindas
69-29;69;Rhône;29;Bron
69-30;69;Rhône;30;Brullioles
69-31;69;Rhône;31;Brussieu
69-32;69;Rhône;32;Bully
69-33;69;Rhône;33;Cailloux-sur-Fontaines
69-34;69;Rhône;34;Caluire-et-Cuire
69-35;69;Rhône;35;Cenves
69-36;69;Rhône;36;Cercié
69-37;69;Rhône;37;Chambost-Allières
69-38;69;Rhône;38;Chambost-Longessaigne
69-39;69;Rhône;39;Chamelet
69-40;69;Rhône;40;Champagne-au-Mont-d'Or
69-42;69;Rhône;42;La Chapelle-sur-Coise
69-43;69;Rhône;43;Chaponost
69-44;69;Rhône;44;Charbonnières-les-Bains
69-45;69;Rhône;45;Charentay
69-46;69;Rhône;46;Charly
69-47;69;Rhône;47;Charnay
69-48;69;Rhône;48;Chassagny
69-49;69;Rhône;49;Chasselay
69-50;69;Rhône;50;Châtillon
69-51;69;Rhône;51;Chaussan
69-52;69;Rhône;52;Chazay-d'Azergues
69-53;69;Rhône;53;Chénas
69-54;69;Rhône;54;Chénelette
69-55;69;Rhône;55;Les Chères
69-56;69;Rhône;56;Chessy-les-Mines
69-57;69;Rhône;57;Chevinay
69-58;69;Rhône;58;Chiroubles
69-59;69;Rhône;59;Civrieux-d'Azergues
69-60;69;Rhône;60;Claveisolles
69-61;69;Rhône;61;Cogny
