id_commune;id_election;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;date_integration_gold
69001;2012_T1;250;25;225;7;0;7;218;10.0;90.0;2.8;3.11;0.0;0.0;2.8;3.11;87.2;96.89;2026-03-28T02:12:43.523187
69010;2012_T1;3858;674;3184;65;0;65;3119;17.47;82.53;1.68;2.04;0.0;0.0;1.68;2.04;80.84;97.96;2026-03-28T02:12:43.523187
69100;2012_T1;5948;873;5075;81;0;81;4994;14.68;85.32;1.36;1.6;0.0;0.0;1.36;1.6;83.96;98.4;2026-03-28T02:12:43.523187
69101;2012_T1;475;57;418;5;0;5;413;12.0;88.0;1.05;1.2;0.0;0.0;1.05;1.2;86.95;98.8;2026-03-28T02:12:43.523187
69102;2012_T1;498;80;418;10;0;10;408;16.06;83.94;2.01;2.39;0.0;0.0;2.01;2.39;81.93;97.61;2026-03-28T02:12:43.523187
69103;2012_T1;706;77;629;17;0;17;612;10.91;89.09;2.41;2.7;0.0;0.0;2.41;2.7;86.69;97.3;2026-03-28T02:12:43.523187
69104;2012_T1;322;55;267;8;0;8;259;17.08;82.92;2.48;3.0;0.0;0.0;2.48;3.0;80.43;97.0;2026-03-28T02:12:43.523187
69105;2012_T1;712;83;629;11;0;11;618;11.66;88.34;1.54;1.75;0.0;0.0;1.54;1.75;86.8;98.25;2026-03-28T02:12:43.523187
69106;2012_T1;690;44;646;10;0;10;636;6.38;93.62;1.45;1.55;0.0;0.0;1.45;1.55;92.17;98.45;2026-03-28T02:12:43.523187
69107;2012_T1;740;124;616;5;0;5;611;16.76;83.24;0.68;0.81;0.0;0.0;0.68;0.81;82.57;99.19;2026-03-28T02:12:43.523187
69108;2012_T1;576;70;506;4;0;4;502;12.15;87.85;0.69;0.79;0.0;0.0;0.69;0.79;87.15;99.21;2026-03-28T02:12:43.523187
69109;2012_T1;602;80;522;18;0;18;504;13.29;86.71;2.99;3.45;0.0;0.0;2.99;3.45;83.72;96.55;2026-03-28T02:12:43.523187
69110;2012_T1;1396;188;1208;17;0;17;1191;13.47;86.53;1.22;1.41;0.0;0.0;1.22;1.41;85.32;98.59;2026-03-28T02:12:43.523187
69111;2012_T1;430;58;372;2;0;2;370;13.49;86.51;0.47;0.54;0.0;0.0;0.47;0.54;86.05;99.46;2026-03-28T02:12:43.523187
69112;2012_T1;4099;616;3483;43;0;43;3440;15.03;84.97;1.05;1.23;0.0;0.0;1.05;1.23;83.92;98.77;2026-03-28T02:12:43.523187
69113;2012_T1;556;63;493;9;0;9;484;11.33;88.67;1.62;1.83;0.0;0.0;1.62;1.83;87.05;98.17;2026-03-28T02:12:43.523187
69114;2012_T1;1335;149;1186;24;0;24;1162;11.16;88.84;1.8;2.02;0.0;0.0;1.8;2.02;87.04;97.98;2026-03-28T02:12:43.523187
69115;2012_T1;3111;456;2655;35;0;35;2620;14.66;85.34;1.13;1.32;0.0;0.0;1.13;1.32;84.22;98.68;2026-03-28T02:12:43.523187
69116;2012_T1;2303;232;2071;21;0;21;2050;10.07;89.93;0.91;1.01;0.0;0.0;0.91;1.01;89.01;98.99;2026-03-28T02:12:43.523187
