id_commune;id_election;id_candidat;inscrits;abstentions;votants;blancs;nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;voix;pct_voix_ins;pct_voix_exprimes;date_integration_gold
69-1;2017_T2;CAND_001;257;39;218;20;7;191;15.18;84.82;7.78;9.17;2.72;3.21;74.32;87.61;93;36.19;48.69;2026-03-24T19:55:58.226396
69-1;2017_T2;CAND_002;257;39;218;20;7;191;15.18;84.82;7.78;9.17;2.72;3.21;74.32;87.61;98;38.13;51.31;2026-03-24T19:55:58.226396
69-2;2017_T2;CAND_001;224;51;173;13;11;149;22.77;77.23;5.8;7.51;4.91;6.36;66.52;86.13;84;37.5;56.38;2026-03-24T19:55:58.226396
69-2;2017_T2;CAND_002;224;51;173;13;11;149;22.77;77.23;5.8;7.51;4.91;6.36;66.52;86.13;65;29.02;43.62;2026-03-24T19:55:58.226396
69-3;2017_T2;CAND_001;1665;402;1263;110;26;1127;24.14;75.86;6.61;8.71;1.56;2.06;67.69;89.23;775;46.55;68.77;2026-03-24T19:55:58.226396
69-3;2017_T2;CAND_002;1665;402;1263;110;26;1127;24.14;75.86;6.61;8.71;1.56;2.06;67.69;89.23;352;21.14;31.23;2026-03-24T19:55:58.226396
69-4;2017_T2;CAND_001;455;95;360;42;4;314;20.88;79.12;9.23;11.67;0.88;1.11;69.01;87.22;204;44.84;64.97;2026-03-24T19:55:58.226396
69-4;2017_T2;CAND_002;455;95;360;42;4;314;20.88;79.12;9.23;11.67;0.88;1.11;69.01;87.22;110;24.18;35.03;2026-03-24T19:55:58.226396
69-5;2017_T2;CAND_001;420;69;351;35;10;306;16.43;83.57;8.33;9.97;2.38;2.85;72.86;87.18;136;32.38;44.44;2026-03-24T19:55:58.226396
69-5;2017_T2;CAND_002;420;69;351;35;10;306;16.43;83.57;8.33;9.97;2.38;2.85;72.86;87.18;170;40.48;55.56;2026-03-24T19:55:58.226396
69-6;2017_T2;CAND_001;3591;830;2761;257;82;2422;23.11;76.89;7.16;9.31;2.28;2.97;67.45;87.72;1419;39.52;58.59;2026-03-24T19:55:58.226396
69-6;2017_T2;CAND_002;3591;830;2761;257;82;2422;23.11;76.89;7.16;9.31;2.28;2.97;67.45;87.72;1003;27.93;41.41;2026-03-24T19:55:58.226396
69-7;2017_T2;CAND_001;1994;361;1633;153;45;1435;18.1;81.9;7.67;9.37;2.26;2.76;71.97;87.88;811;40.67;56.52;2026-03-24T19:55:58.226396
69-7;2017_T2;CAND_002;1994;361;1633;153;45;1435;18.1;81.9;7.67;9.37;2.26;2.76;71.97;87.88;624;31.29;43.48;2026-03-24T19:55:58.226396
69-8;2017_T2;CAND_001;464;61;403;43;10;350;13.15;86.85;9.27;10.67;2.16;2.48;75.43;86.85;218;46.98;62.29;2026-03-24T19:55:58.226396
69-8;2017_T2;CAND_002;464;61;403;43;10;350;13.15;86.85;9.27;10.67;2.16;2.48;75.43;86.85;132;28.45;37.71;2026-03-24T19:55:58.226396
69-9;2017_T2;CAND_001;4571;978;3593;304;81;3208;21.4;78.6;6.65;8.46;1.77;2.25;70.18;89.28;2181;47.71;67.99;2026-03-24T19:55:58.226396
69-9;2017_T2;CAND_002;4571;978;3593;304;81;3208;21.4;78.6;6.65;8.46;1.77;2.25;70.18;89.28;1027;22.47;32.01;2026-03-24T19:55:58.226396
69-10;2017_T2;CAND_001;4131;1022;3109;276;86;2747;24.74;75.26;6.68;8.88;2.08;2.77;66.5;88.36;1958;47.4;71.28;2026-03-24T19:55:58.226396
69-10;2017_T2;CAND_002;4131;1022;3109;276;86;2747;24.74;75.26;6.68;8.88;2.08;2.77;66.5;88.36;789;19.1;28.72;2026-03-24T19:55:58.226396
69-12;2017_T2;CAND_001;508;84;424;34;11;379;16.54;83.46;6.69;8.02;2.17;2.59;74.61;89.39;214;42.13;56.46;2026-03-24T19:55:58.226396
69-12;2017_T2;CAND_002;508;84;424;34;11;379;16.54;83.46;6.69;8.02;2.17;2.59;74.61;89.39;165;32.48;43.54;2026-03-24T19:55:58.226396
69-13;2017_T2;CAND_001;2644;592;2052;166;35;1851;22.39;77.61;6.28;8.09;1.32;1.71;70.01;90.2;1063;40.2;57.43;2026-03-24T19:55:58.226396
69-13;2017_T2;CAND_002;2644;592;2052;166;35;1851;22.39;77.61;6.28;8.09;1.32;1.71;70.01;90.2;788;29.8;42.57;2026-03-24T19:55:58.226396
69-14;2017_T2;CAND_001;786;139;647;42;11;594;17.68;82.32;5.34;6.49;1.4;1.7;75.57;91.81;387;49.24;65.15;2026-03-24T19:55:58.226396
69-14;2017_T2;CAND_002;786;139;647;42;11;594;17.68;82.32;5.34;6.49;1.4;1.7;75.57;91.81;207;26.34;34.85;2026-03-24T19:55:58.226396
69-15;2017_T2;CAND_001;115;20;95;13;4;78;17.39;82.61;11.3;13.68;3.48;4.21;67.83;82.11;64;55.65;82.05;2026-03-24T19:55:58.226396
