id_commune;id_election;id_candidat;id_nuance;voix;pct_voix_ins;pct_voix_exprimes;date_integration_gold
69001;2012_T1;CAND_001;ECO;3;1.2;1.38;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_002;FN;61;24.4;27.98;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_003;UMP;68;27.2;31.19;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_004;FI;12;4.8;5.5;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_005;EXG;4;1.6;1.83;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_006;EXG;2;0.8;0.92;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_008;MODEM;29;11.6;13.3;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_009;DLF;14;5.6;6.42;2026-04-01T19:19:28.745445
69001;2012_T1;CAND_010;SOC;25;10.0;11.47;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_001;ECO;94;2.44;3.01;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_002;FN;477;12.36;15.29;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_003;UMP;778;20.17;24.94;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_004;FI;385;9.98;12.34;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_005;EXG;21;0.54;0.67;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_006;EXG;18;0.47;0.58;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_007;DIV;13;0.34;0.42;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_008;MODEM;395;10.24;12.66;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_009;DLF;75;1.94;2.4;2026-04-01T19:19:28.745445
69010;2012_T1;CAND_010;SOC;863;22.37;27.67;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_001;ECO;115;1.93;2.3;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_002;FN;905;15.22;18.12;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_003;UMP;1310;22.02;26.23;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_004;FI;539;9.06;10.79;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_005;EXG;57;0.96;1.14;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_006;EXG;27;0.45;0.54;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_007;DIV;20;0.34;0.4;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_008;MODEM;594;9.99;11.89;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_009;DLF;92;1.55;1.84;2026-04-01T19:19:28.745445
69100;2012_T1;CAND_010;SOC;1335;22.44;26.73;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_001;ECO;13;2.74;3.15;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_002;FN;64;13.47;15.5;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_003;UMP;134;28.21;32.45;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_004;FI;49;10.32;11.86;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_005;EXG;2;0.42;0.48;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_006;EXG;6;1.26;1.45;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_007;DIV;4;0.84;0.97;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_008;MODEM;41;8.63;9.93;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_009;DLF;9;1.89;2.18;2026-04-01T19:19:28.745445
69101;2012_T1;CAND_010;SOC;91;19.16;22.03;2026-04-01T19:19:28.745445
69102;2012_T1;CAND_001;ECO;7;1.41;1.72;2026-04-01T19:19:28.745445
69102;2012_T1;CAND_002;FN;97;19.48;23.77;2026-04-01T19:19:28.745445
69102;2012_T1;CAND_003;UMP;107;21.49;26.23;2026-04-01T19:19:28.745445
69102;2012_T1;CAND_004;FI;48;9.64;11.76;2026-04-01T19:19:28.745445
69102;2012_T1;CAND_005;EXG;6;1.2;1.47;2026-04-01T19:19:28.745445
69102;2012_T1;CAND_006;EXG;1;0.2;0.25;2026-04-01T19:19:28.745445
69102;2012_T1;CAND_007;DIV;0;0.0;0.0;2026-04-01T19:19:28.745445
