id_commune;code_departement;code_commune;code_insee_commune;libelle_commune
69001;69;001;69001;Affoux
69002;69;002;69002;Aigueperse
69003;69;003;69003;Albigny-sur-Saône
69004;69;004;69004;Alix
69005;69;005;69005;Ambérieux
69006;69;006;69006;Amplepuis
69007;69;007;69007;Ampuis
69008;69;008;69008;Ancy
69009;69;009;69009;Anse
69010;69;010;69010;L'Arbresle
69012;69;012;69012;Les Ardillats
69013;69;013;69013;Arnas
69014;69;014;69014;Aveize
69016;69;016;69016;Azolette
69017;69;017;69017;Bagnols
69018;69;018;69018;Beaujeu
69019;69;019;69019;Belleville-en-Beaujolais
69019;69;019;69019;Belleville
69020;69;020;69020;Belmont-d'Azergues
69021;69;021;69021;Bessenay
69022;69;022;69022;Bibost
69023;69;023;69023;Blacé
69024;69;024;69024;Le Bois-d'Oingt
69024;69;024;69024;Val d'Oingt
69026;69;026;69026;Le Breuil
69027;69;027;69027;Brignais
69028;69;028;69028;Brindas
69029;69;029;69029;Bron
69030;69;030;69030;Brullioles
69031;69;031;69031;Brussieu
69032;69;032;69032;Bully
69033;69;033;69033;Cailloux-sur-Fontaines
69034;69;034;69034;Caluire-et-Cuire
69035;69;035;69035;Cenves
69036;69;036;69036;Cercié
69037;69;037;69037;Chambost-Allières
69038;69;038;69038;Chambost-Longessaigne
69039;69;039;69039;Chamelet
69040;69;040;69040;Champagne-au-Mont-d'Or
69042;69;042;69042;La Chapelle-sur-Coise
69043;69;043;69043;Chaponost
69044;69;044;69044;Charbonnières-les-Bains
69045;69;045;69045;Charentay
69046;69;046;69046;Charly
69047;69;047;69047;Charnay
69049;69;049;69049;Chasselay
69050;69;050;69050;Châtillon
69051;69;051;69051;Chaussan
69052;69;052;69052;Chazay-d'Azergues
69053;69;053;69053;Chénas
69054;69;054;69054;Chénelette
69055;69;055;69055;Les Chères
69056;69;056;69056;Chessy
69057;69;057;69057;Chevinay
69058;69;058;69058;Chiroubles
69059;69;059;69059;Civrieux-d'Azergues
69060;69;060;69060;Claveisolles
69061;69;061;69061;Cogny
69062;69;062;69062;Coise
69063;69;063;69063;Collonges-au-Mont-d'Or
69064;69;064;69064;Condrieu
69065;69;065;69065;Corcelles-en-Beaujolais
69066;69;066;69066;Cours
69066;69;066;69066;Cours-la-Ville
69067;69;067;69067;Courzieu
69068;69;068;69068;Couzon-au-Mont-d'Or
69069;69;069;69069;Craponne
69070;69;070;69070;Cublize
69071;69;071;69071;Curis-au-Mont-d'Or
69072;69;072;69072;Dardilly
69074;69;074;69074;Denicé
69075;69;075;69075;Dième
69076;69;076;69076;Dommartin
69077;69;077;69077;Dracé
