id_commune;id_year;nb_menages_fiscaux;nb_personnes_menages_fiscaux;mediane_niveau_vie_euros;pct_menages_imposables
69001;2014;124.0;361.5;21462.8571428571;
69001;2015;132.0;375.0;21606.5384615385;
69001;2016;133.0;382.5;21615.7142857143;
69001;2017;136.0;383.0;22610.0;
69001;2018;145.0;399.0;22520.0;
69001;2019;141.0;373.0;23290.0;
69001;2020;136.0;330.0;24170.0;
69001;2021;138.0;349.0;24970.0;
69002;2014;113.0;234.0;18494.5;
69002;2015;116.0;243.0;19841.0;
69002;2016;118.0;246.0;20848.6666666667;
69002;2017;115.0;242.0;19550.0;
69002;2018;110.0;231.0;21030.0;
69002;2019;113.0;229.0;20190.0;
69002;2020;116.0;236.0;18990.0;
69002;2021;112.0;227.0;21290.0;
69003;2014;958.0;2368.0;23454.7619047619;68.0
69003;2015;958.0;2376.0;23293.3333333333;63.0
69003;2016;943.0;2327.0;23448.2142857143;60.0
69003;2017;972.0;2326.0;23390.0;61.0
69003;2018;975.0;2366.0;24880.0;62.0
69003;2019;1003.0;2397.0;25080.0;67.0
69003;2020;1058.0;2485.0;25740.0;62.0
69003;2021;1085.0;2568.0;27080.0;65.0
69004;2014;251.0;672.5;23311.914893617;
69004;2015;250.0;686.5;24259.5;
69004;2016;248.0;677.0;23805.5;
69004;2017;253.0;693.0;25360.0;
69004;2018;255.0;677.0;25720.0;
69004;2019;252.0;673.0;26330.0;
69004;2020;264.0;708.0;26980.0;
69004;2021;260.0;699.0;26980.0;
69005;2014;200.0;583.5;22403.0;
69005;2015;206.0;596.0;24899.3333333333;
69005;2016;209.0;588.0;24149.7142857143;
69005;2017;209.0;580.0;25820.0;
69005;2018;204.0;572.0;25350.0;
69005;2019;201.0;555.0;24730.0;
69005;2020;212.0;574.0;24930.0;
69005;2021;213.0;575.0;25550.0;
69006;2014;2111.0;4828.0;18611.2;47.0
69006;2015;2128.0;4774.5;18492.4;45.0
69006;2016;2119.0;4725.5;18955.2;40.0
69006;2017;2095.0;4621.0;19180.0;41.0
69006;2018;2061.0;4548.0;19860.0;42.0
69006;2019;2109.0;4611.0;20180.0;47.0
69006;2020;2178.0;4682.0;20520.0;39.0
69006;2021;2196.0;4671.0;21120.0;41.0
69007;2014;1098.0;2650.0;23680.9523809524;70.0
69007;2015;1121.0;2633.5;24097.6;68.0
69007;2016;1126.0;2659.0;24411.5;63.0
69007;2017;1131.0;2656.0;24550.0;65.0
69007;2018;1147.0;2665.0;24950.0;65.0
69007;2019;1147.0;2666.0;25420.0;69.0
69007;2020;1162.0;2672.0;26050.0;64.0
69007;2021;1182.0;2682.0;26440.0;66.0
69008;2014;232.0;630.0;21154.2857142857;
69008;2015;240.0;661.5;21505.3333333333;
69008;2016;243.0;671.5;21757.2;
69008;2017;250.0;688.0;22710.0;
69008;2018;250.0;667.0;23150.0;
69008;2019;248.0;642.0;23190.0;
69008;2020;212.0;514.0;23800.0;
69008;2021;256.0;670.0;25170.0;
69009;2014;2596.0;6813.0;22430.0;64.0
69009;2015;2643.0;6926.0;22404.2619047619;62.0
69009;2016;2657.0;6886.0;22729.3333333333;59.0
69009;2017;2746.0;7133.0;23110.0;58.0
69009;2018;2776.0;7077.0;23820.0;58.0
69009;2019;2836.0;7128.0;23720.0;63.0
69009;2020;2988.0;7326.0;24000.0;55.0
69009;2021;3110.0;7621.0;24690.0;59.0
69010;2014;2561.0;6153.5;20812.0;59.0
69010;2015;2576.0;6143.5;21064.2857142857;56.0
69010;2016;2601.0;6150.5;21196.6666666667;53.0
69010;2017;2618.0;6133.0;21320.0;51.0
69010;2018;2652.0;6132.0;21630.0;50.0
69010;2019;2709.0;6217.0;22250.0;58.0
69010;2020;2751.0;6193.0;22640.0;53.0
69010;2021;2808.0;6272.0;23450.0;55.0
69012;2014;240.0;625.5;20901.25;
69012;2015;237.0;612.0;20636.0;
69012;2016;243.0;626.0;20935.0;
69012;2017;242.0;612.0;21320.0;
69012;2018;240.0;602.0;22240.0;
69012;2019;238.0;590.0;21860.0;
69012;2020;226.0;545.0;22800.0;
69012;2021;222.0;540.0;24030.0;
69013;2014;1372.0;3595.0;22340.4347826087;67.0
69013;2015;1394.0;3646.0;22606.7272727273;64.0
69013;2016;1434.0;3765.0;22978.0;60.0
69013;2017;1466.0;3778.0;23160.0;61.0
69013;2018;1490.0;3793.0;24400.0;59.0
69013;2019;1544.0;3842.0;24170.0;63.0
69013;2020;1584.0;3961.0;24640.0;56.0
69013;2021;1704.0;4205.0;24910.0;58.0
