id_commune;id_year;taux_pauvrete_ensemble;taux_pauvrete_moins_30ans;taux_pauvrete_30_39ans;taux_pauvrete_40_49ans;taux_pauvrete_50_59ans;taux_pauvrete_60_74ans;taux_pauvrete_75ans_plus;taux_pauvrete_proprietaires;taux_pauvrete_locataires
69001;2014;;;;;;;;;
69001;2015;;;;;;;;;
69001;2016;;;;;;;;;
69001;2017;;;;;;;;;
69001;2018;;;;;;;;;
69001;2019;;;;;;;;;
69001;2020;;;;;;;;;
69001;2021;;;;;;;;;
69002;2014;;;;;;;;;
69002;2015;;;;;;;;;
69002;2016;;;;;;;;;
69002;2017;;;;;;;;;
69002;2018;;;;;;;;;
69002;2019;;;;;;;;;
69002;2020;;;;;;;;;
69002;2021;;;;;;;;;
69003;2014;11.0;;;;;;;;
69003;2015;12.0;;;;;;;;26.0
69003;2016;9.0;;;;;;;;
69003;2017;10.0;;;;;;;;23.0
69003;2018;10.0;;;;;;;;
69003;2019;11.0;;;;;;;;26.0
69003;2020;9.0;;;;;;;;22.0
69003;2021;11.0;;;;;;;;23.0
69004;2014;;;;;;;;;
69004;2015;;;;;;;;;
69004;2016;;;;;;;;;
69004;2017;;;;;;;;;
69004;2018;;;;;;;;;
69004;2019;;;;;;;;;
69004;2020;;;;;;;;;
69004;2021;;;;;;;;;
69005;2014;;;;;;;;;
69005;2015;;;;;;;;;
69005;2016;;;;;;;;;
69005;2017;;;;;;;;;
69005;2018;;;;;;;;;
69005;2019;;;;;;;;;
69005;2020;;;;;;;;;
69005;2021;;;;;;;;;
69006;2014;13.0;;;18.0;;;;7.0;23.0
69006;2015;14.0;;;;;;;7.0;25.0
69006;2016;15.0;;;;;;;7.0;27.0
69006;2017;14.0;;;;;;;;27.0
69006;2018;14.0;;;20.0;;;;7.0;27.0
69006;2019;14.0;;;;;;;;29.0
69006;2020;15.0;;;19.0;;;;7.0;28.0
69006;2021;16.0;;;;;;;8.0;31.0
69007;2014;;;;;;;;;
69007;2015;;;;;;;;;
69007;2016;;;;;;;;;
69007;2017;;;;;;;;;
69007;2018;;;;;;;;;
69007;2019;;;;;;;;;
69007;2020;;;;;;;;;
69007;2021;;;;;;;;;
69008;2014;;;;;;;;;
69008;2015;;;;;;;;;
69008;2016;;;;;;;;;
69008;2017;;;;;;;;;
69008;2018;;;;;;;;;
69008;2019;;;;;;;;;
69008;2020;;;;;;;;;
69008;2021;;;;;;;;;
69009;2014;8.0;;;;;;;;17.0
69009;2015;7.0;;;;;;;;16.0
69009;2016;7.0;;;;;;;;16.0
69009;2017;8.0;;;;;;;;17.0
69009;2018;8.0;;;;;;;;18.0
69009;2019;9.0;;;10.0;;;;;20.0
69009;2020;9.0;;12.0;10.0;;;;;19.0
69009;2021;10.0;;13.0;10.0;;;;;21.0
69010;2014;12.0;;;13.0;;;;;23.0
69010;2015;14.0;;;14.0;;;;;26.0
69010;2016;13.0;;;16.0;;;;;26.0
69010;2017;14.0;;;15.0;;;;;26.0
69010;2018;14.0;;18.0;14.0;;;;;28.0
69010;2019;14.0;;21.0;13.0;;;;;27.0
69010;2020;13.0;;17.0;14.0;;;;;25.0
69010;2021;12.0;;16.0;13.0;;;;;25.0
69012;2014;;;;;;;;;
69012;2015;;;;;;;;;
69012;2016;;;;;;;;;
69012;2017;;;;;;;;;
69012;2018;;;;;;;;;
69012;2019;;;;;;;;;
69012;2020;;;;;;;;;
69012;2021;;;;;;;;;
69013;2014;8.0;;;;;;;;
69013;2015;7.0;;;;;;;;
69013;2016;7.0;;;;;;;;
69013;2017;7.0;;;;;;;;
69013;2018;8.0;;;;;;;;
69013;2019;9.0;;;;;;;;22.0
69013;2020;8.0;;;;;;;;
69013;2021;9.0;;;;;;;;22.0
69014;2014;;;;;;;;;
69014;2015;;;;;;;;;
69014;2016;;;;;;;;;
69014;2017;;;;;;;;;
69014;2018;;;;;;;;;
69014;2019;;;;;;;;;
69014;2020;;;;;;;;;
69014;2021;;;;;;;;;
69016;2014;;;;;;;;;
69016;2015;;;;;;;;;
69016;2016;;;;;;;;;
69016;2017;;;;;;;;;
69016;2018;;;;;;;;;
69016;2019;;;;;;;;;
69016;2020;;;;;;;;;
69016;2021;;;;;;;;;
69017;2014;;;;;;;;;
69017;2015;;;;;;;;;
69017;2016;;;;;;;;;
69017;2017;;;;;;;;;
69017;2018;;;;;;;;;
69017;2019;;;;;;;;;
69017;2020;;;;;;;;;
69017;2021;;;;;;;;;
69018;2014;;;;;;;;;
69018;2015;;;;;;;;;
69018;2016;;;;;;;;;
69018;2017;;;;;;;;;
69018;2018;;;;;;;;;
69018;2019;;;;;;;;;
69018;2020;;;;;;;;;
69018;2021;;;;;;;;;
69019;2014;17.0;;19.0;19.0;18.0;;;7.0;25.0
69019;2015;16.0;;16.0;17.0;18.0;;;7.0;23.0
69019;2016;12.0;;12.0;12.0;15.0;;;5.0;21.0
69019;2017;12.0;;11.0;12.0;15.0;;;5.0;22.0
69019;2018;13.0;;13.0;13.0;15.0;;;5.0;23.0
69019;2019;13.0;;14.0;13.0;12.0;10.0;;5.0;23.0
69019;2020;13.0;;15.0;14.0;11.0;10.0;;5.0;24.0
69019;2021;13.0;;13.0;14.0;11.0;12.0;;5.0;23.0
69020;2014;;;;;;;;;
69020;2015;;;;;;;;;
69020;2016;;;;;;;;;
69020;2017;;;;;;;;;
69020;2018;;;;;;;;;
69020;2019;;;;;;;;;
69020;2020;;;;;;;;;
69020;2021;;;;;;;;;
69021;2014;;;;;;;;;
69021;2015;;;;;;;;;
69021;2016;;;;;;;;;
69021;2017;;;;;;;;;
69021;2018;;;;;;;;;
69021;2019;;;;;;;;;
69021;2020;;;;;;;;;
69021;2021;;;;;;;;;
69022;2014;;;;;;;;;
69022;2015;;;;;;;;;
69022;2016;;;;;;;;;
69022;2017;;;;;;;;;
69022;2018;;;;;;;;;
69022;2019;;;;;;;;;
69022;2020;;;;;;;;;
69022;2021;;;;;;;;;
69023;2014;;;;;;;;;
69023;2015;;;;;;;;;
69023;2016;;;;;;;;;
69023;2017;;;;;;;;;
69023;2018;;;;;;;;;
69023;2019;;;;;;;;;
69023;2020;;;;;;;;;
69023;2021;;;;;;;;;
69024;2014;;;;;;;;;
69024;2015;;;;;;;;;
69024;2016;7.0;;;;;;;;
69024;2017;6.0;;;;;;;;
69024;2018;6.0;;;;;;;;
69024;2019;6.0;;;;;;;;
69024;2020;6.0;;;;;;;;
69024;2021;5.0;;;;;;;;
69026;2014;;;;;;;;;
69026;2015;;;;;;;;;
69026;2016;;;;;;;;;
69026;2017;;;;;;;;;
69026;2018;;;;;;;;;
69026;2019;;;;;;;;;
69026;2020;;;;;;;;;
69026;2021;;;;;;;;;
69027;2014;8.0;;13.0;10.0;;;;;19.0
69027;2015;8.0;;11.0;11.0;8.0;;;;19.0
69027;2016;9.0;;10.0;12.0;9.0;;;;19.0
69027;2017;8.0;;10.0;11.0;;;;;18.0
69027;2018;9.0;;11.0;12.0;;;;;19.0
69027;2019;9.0;;11.0;10.0;8.0;;;;19.0
69027;2020;9.0;;12.0;11.0;8.0;;;;20.0
69027;2021;10.0;;13.0;12.0;9.0;;;5.0;22.0
69028;2014;5.0;;;;;;;;
69028;2015;5.0;;;;;;;;
69028;2016;5.0;;;;;;;;
69028;2017;5.0;;;;;;;;
69028;2018;5.0;;;;;;;;15.0
69028;2019;5.0;;;;;;;;14.0
69028;2020;5.0;;;;;;;;
69028;2021;5.0;;;;;;;;16.0
69029;2014;19.0;22.0;26.0;25.0;17.0;14.0;8.0;7.0;32.0
69029;2015;20.0;25.0;25.0;25.0;17.0;13.0;8.0;7.0;32.0
69029;2016;20.0;24.0;26.0;26.0;18.0;13.0;8.0;7.0;33.0
69029;2017;20.0;26.0;26.0;24.0;18.0;14.0;8.0;7.0;33.0
69029;2018;21.0;27.0;26.0;26.0;18.0;15.0;10.0;7.0;34.0
69029;2019;20.0;24.0;25.0;25.0;18.0;13.0;10.0;7.0;33.0
69029;2020;19.0;23.0;24.0;25.0;18.0;14.0;11.0;7.0;32.0
69029;2021;21.0;24.0;26.0;26.0;19.0;14.0;12.0;7.0;34.0
69030;2014;;;;;;;;;
69030;2015;;;;;;;;;
69030;2016;;;;;;;;;
69030;2017;;;;;;;;;
69030;2018;;;;;;;;;
69030;2019;;;;;;;;;
69030;2020;;;;;;;;;
69030;2021;;;;;;;;;
69031;2014;;;;;;;;;
69031;2015;;;;;;;;;
69031;2016;;;;;;;;;
69031;2017;;;;;;;;;
69031;2018;;;;;;;;;
69031;2019;;;;;;;;;
69031;2020;;;;;;;;;
69031;2021;;;;;;;;;
69032;2014;;;;;;;;;
69032;2015;;;;;;;;;
69032;2016;;;;;;;;;
69032;2017;;;;;;;;;
69032;2018;;;;;;;;;
69032;2019;;;;;;;;;
69032;2020;;;;;;;;;
69032;2021;;;;;;;;;
69033;2014;;;;;;;;;
69033;2015;;;;;;;;;
69033;2016;;;;;;;;;
69033;2017;;;;;;;;;
69033;2018;;;;;;;;;
69033;2019;;;;;;;;;
69033;2020;;;;;;;;;
69033;2021;;;;;;;;;
69034;2014;10.0;15.0;13.0;12.0;9.0;5.0;;5.0;19.0
69034;2015;9.0;14.0;12.0;12.0;9.0;6.0;;5.0;18.0
69034;2016;10.0;15.0;12.0;13.0;9.0;5.0;;5.0;19.0
69034;2017;10.0;14.0;12.0;13.0;10.0;6.0;5.0;5.0;19.0
69034;2018;10.0;15.0;12.0;12.0;10.0;6.0;5.0;5.0;19.0
69034;2019;10.0;16.0;13.0;13.0;9.0;6.0;5.0;5.0;20.0
69034;2020;10.0;16.0;13.0;12.0;10.0;7.0;5.0;5.0;20.0
69034;2021;11.0;18.0;12.0;12.0;10.0;8.0;6.0;5.0;22.0
69035;2014;;;;;;;;;
69035;2015;;;;;;;;;
69035;2016;;;;;;;;;
69035;2017;;;;;;;;;
69035;2018;;;;;;;;;
69035;2019;;;;;;;;;
69035;2020;;;;;;;;;
69035;2021;;;;;;;;;
69036;2014;;;;;;;;;
69036;2015;;;;;;;;;
69036;2016;;;;;;;;;
69036;2017;;;;;;;;;
69036;2018;;;;;;;;;
69036;2019;;;;;;;;;
69036;2020;;;;;;;;;
69036;2021;;;;;;;;;
69037;2014;;;;;;;;;
69037;2015;;;;;;;;;
69037;2016;;;;;;;;;
69037;2017;;;;;;;;;
69037;2018;;;;;;;;;
69037;2019;;;;;;;;;
69037;2020;;;;;;;;;
69037;2021;;;;;;;;;
69038;2014;;;;;;;;;
69038;2015;;;;;;;;;
69038;2016;;;;;;;;;
69038;2017;;;;;;;;;
69038;2018;;;;;;;;;
69038;2019;;;;;;;;;
69038;2020;;;;;;;;;
69038;2021;;;;;;;;;
69039;2014;;;;;;;;;
69039;2015;;;;;;;;;
69039;2016;;;;;;;;;
69039;2017;;;;;;;;;
69039;2018;;;;;;;;;
69039;2019;;;;;;;;;
69039;2020;;;;;;;;;
69039;2021;;;;;;;;;
69040;2014;9.0;;;;;;;;18.0
69040;2015;9.0;;;;;;;;18.0
69040;2016;9.0;;;;;;;;18.0
69040;2017;9.0;;;;;;;;18.0
69040;2018;10.0;;;;;;;;19.0
69040;2019;9.0;;;;;;;;18.0
69040;2020;10.0;;;;;;;;20.0
69040;2021;11.0;;;;;;;;21.0
69042;2014;;;;;;;;;
69042;2015;;;;;;;;;
69042;2016;;;;;;;;;
69042;2017;;;;;;;;;
69042;2018;;;;;;;;;
69042;2019;;;;;;;;;
69042;2020;;;;;;;;;
69042;2021;;;;;;;;;
69043;2014;5.0;;;;;;;;14.0
69043;2015;5.0;;;;;;;;14.0
69043;2016;5.0;;;;;;;;12.0
69043;2017;5.0;;;;;;;;14.0
69043;2018;5.0;;;;;;;;15.0
69043;2019;5.0;;;;;;;;15.0
69043;2020;5.0;;;;;;;;15.0
69043;2021;6.0;;;;;;;;16.0
69044;2014;5.0;;;;;;;;
69044;2015;5.0;;;;;;;;
69044;2016;5.0;;;;;;;;
69044;2017;5.0;;;;;;;;
69044;2018;5.0;;;;;;;;
69044;2019;5.0;;;;;;;;
69044;2020;5.0;;;;;;;;13.0
69044;2021;5.0;;;;;;;;
69045;2014;;;;;;;;;
69045;2015;;;;;;;;;
69045;2016;;;;;;;;;
69045;2017;;;;;;;;;
69045;2018;;;;;;;;;
69045;2019;;;;;;;;;
69045;2020;;;;;;;;;
69045;2021;;;;;;;;;
69046;2014;;;;;;;;;
69046;2015;;;;;;;;;
69046;2016;;;;;;;;;
69046;2017;;;;;;;;;
