id_commune;id_year;pct_revenus_activite;pct_revenus_salaires_chomage;pct_revenus_activite_non_salariee;pct_pensions_retraites;pct_revenus_patrimoine;pct_prestations_sociales;pct_prestations_familiales;pct_minima_sociaux;pct_prestations_logement;pct_impots;pct_revenus_non_salaries
69001;2014;;;;;;;;;;;
69001;2015;;;;;;;;;;;
69001;2016;;;;;;;;;;;
69001;2017;;;;;;;;;;;
69001;2018;;;;;;;;;;;
69001;2019;;;;;;;;;;;
69001;2020;;;;;;;;;;;
69001;2021;;;;;;;;;;;
69002;2014;;;;;;;;;;;
69002;2015;;;;;;;;;;;
69002;2016;;;;;;;;;;;
69002;2017;;;;;;;;;;;
69002;2018;;;;;;;;;;;
69002;2019;;;;;;;;;;;
69002;2020;;;;;;;;;;;
69002;2021;;;;;;;;;;;
69003;2014;79.6;75.4;;24.8;11.2;4.1;2.1;1.0;1.0;-19.7;4.2
69003;2015;;;80.0;24.2;10.8;4.4;2.2;1.1;1.1;-19.4;4.2
69003;2016;;;79.9;23.9;10.8;4.5;2.1;1.3;1.1;-19.1;4.4
69003;2017;;;81.8;23.8;9.7;4.5;2.1;1.4;1.0;-19.8;4.8
69003;2018;;;83.4;23.7;10.0;4.3;2.0;1.4;0.9;-21.4;4.7
69003;2019;;;78.7;23.2;13.9;4.6;1.9;1.8;0.9;-20.4;4.3
69003;2020;;;81.9;22.8;10.6;4.5;1.7;2.0;0.8;-19.8;4.2
69003;2021;;;83.8;21.9;11.5;3.6;1.5;1.5;0.6;-20.8;4.8
69004;2014;;;;;;;;;;;
69004;2015;;;;;;;;;;;
69004;2016;;;;;;;;;;;
69004;2017;;;;;;;;;;;
69004;2018;;;;;;;;;;;
69004;2019;;;;;;;;;;;
69004;2020;;;;;;;;;;;
69004;2021;;;;;;;;;;;
69005;2014;;;;;;;;;;;
69005;2015;;;;;;;;;;;
69005;2016;;;;;;;;;;;
69005;2017;;;;;;;;;;;
69005;2018;;;;;;;;;;;
69005;2019;;;;;;;;;;;
69005;2020;;;;;;;;;;;
69005;2021;;;;;;;;;;;
69006;2014;62.5;56.7;;34.3;10.3;6.7;2.9;1.8;1.9;-13.8;5.8
69006;2015;;;62.8;34.4;9.9;6.8;2.9;1.9;2.0;-13.9;5.3
69006;2016;;;63.2;34.5;9.0;6.9;2.9;2.1;1.9;-13.6;5.6
69006;2017;;;62.9;35.0;9.3;6.7;2.8;2.2;1.7;-13.9;5.9
69006;2018;;;63.3;35.6;9.0;7.0;2.8;2.5;1.7;-14.9;5.3
69006;2019;;;61.8;36.0;8.7;7.4;2.7;3.0;1.7;-13.9;4.5
69006;2020;;;60.4;34.8;9.5;7.8;2.7;3.5;1.6;-12.5;4.6
69006;2021;;;63.3;34.1;8.6;7.0;2.5;3.1;1.4;-13.0;5.2
69007;2014;82.2;70.3;;22.4;12.5;2.8;1.9;0.6;0.4;-19.9;11.9
69007;2015;;;80.7;22.7;14.6;2.5;1.6;0.5;0.4;-20.5;11.5
69007;2016;;;79.2;22.8;14.2;2.5;1.3;0.7;0.5;-18.7;11.7
69007;2017;;;79.4;23.5;14.1;2.6;1.4;0.7;0.5;-19.6;9.9
69007;2018;;;81.0;22.3;14.0;2.5;1.3;0.7;0.5;-19.8;11.9
69007;2019;;;81.4;22.4;14.3;2.5;1.3;0.8;0.4;-20.6;14.5
69007;2020;;;83.2;22.6;13.2;2.5;1.2;0.9;0.4;-21.5;14.3
69007;2021;;;82.4;23.4;13.2;2.5;1.3;0.9;0.3;-21.5;11.9
69008;2014;;;;;;;;;;;
69008;2015;;;;;;;;;;;
69008;2016;;;;;;;;;;;
69008;2017;;;;;;;;;;;
69008;2018;;;;;;;;;;;
69008;2019;;;;;;;;;;;
69008;2020;;;;;;;;;;;
69008;2021;;;;;;;;;;;
69009;2014;81.0;77.4;;21.6;9.0;4.6;2.8;0.8;1.0;-16.2;3.6
69009;2015;;;81.2;22.0;8.8;4.4;2.6;0.8;1.0;-16.4;3.4
69009;2016;;;81.8;22.3;8.0;4.5;2.5;1.0;1.0;-16.6;3.6
69009;2017;;;82.4;21.4;7.9;4.5;2.5;1.1;0.9;-16.2;3.9
69009;2018;;;83.2;21.6;8.4;4.6;2.5;1.2;0.9;-17.8;4.1
69009;2019;;;81.8;22.3;7.6;5.0;2.5;1.6;0.9;-16.7;4.5
69009;2020;;;81.4;21.9;7.1;5.4;2.6;1.9;0.9;-15.8;3.4
69009;2021;;;83.0;21.0;7.7;4.9;2.3;1.7;0.9;-16.6;3.8
69010;2014;76.8;73.9;;25.1;7.3;5.8;2.8;1.5;1.5;-15.0;2.9
69010;2015;;;76.6;25.5;6.9;5.9;2.7;1.7;1.6;-14.9;2.8
69010;2016;;;76.4;25.6;6.9;6.1;2.7;1.8;1.5;-15.0;2.7
69010;2017;;;75.7;26.0;6.6;6.5;2.8;2.1;1.6;-14.8;2.8
69010;2018;;;76.5;26.9;6.3;6.2;2.7;2.1;1.4;-15.9;2.6
69010;2019;;;76.4;26.0;6.0;6.7;2.6;2.7;1.4;-15.1;2.7
69010;2020;;;75.8;25.4;6.1;6.8;2.6;2.9;1.3;-14.1;2.8
69010;2021;;;77.2;26.0;5.2;6.1;2.4;2.6;1.1;-14.5;2.5
69012;2014;;;;;;;;;;;
69012;2015;;;;;;;;;;;
69012;2016;;;;;;;;;;;
69012;2017;;;;;;;;;;;
69012;2018;;;;;;;;;;;
69012;2019;;;;;;;;;;;
69012;2020;;;;;;;;;;;
69012;2021;;;;;;;;;;;
69013;2014;73.2;69.8;;27.3;11.9;4.1;2.6;0.6;0.8;-16.5;3.4
69013;2015;;;74.7;26.3;12.0;3.8;2.4;0.6;0.8;-16.8;3.7
69013;2016;;;76.8;26.0;10.4;3.6;2.3;0.6;0.7;-16.8;3.8
69013;2017;;;75.9;27.1;9.8;3.9;2.3;0.8;0.8;-16.7;3.8
69013;2018;;;77.4;26.8;9.9;3.7;2.1;0.9;0.7;-17.8;4.1
69013;2019;;;76.7;27.1;8.9;4.1;2.2;1.2;0.7;-16.8;4.0
69013;2020;;;75.9;26.6;8.9;4.4;2.2;1.5;0.7;-15.8;3.8
69013;2021;;;78.2;25.3;8.1;4.4;2.1;1.6;0.7;-16.0;4.2
69014;2014;;;;;;;;;;;
69014;2015;;;;;;;;;;;
69014;2016;;;;;;;;;;;
69014;2017;;;;;;;;;;;
69014;2018;;;;;;;;;;;
69014;2019;;;;;;;;;;;
69014;2020;;;;;;;;;;;
69014;2021;;;;;;;;;;;
69016;2014;;;;;;;;;;;
69016;2015;;;;;;;;;;;
69016;2016;;;;;;;;;;;
69016;2017;;;;;;;;;;;
69016;2018;;;;;;;;;;;
69016;2019;;;;;;;;;;;
69016;2020;;;;;;;;;;;
69016;2021;;;;;;;;;;;
69017;2014;;;;;;;;;;;
69017;2015;;;;;;;;;;;
69017;2016;;;;;;;;;;;
69017;2017;;;;;;;;;;;
69017;2018;;;;;;;;;;;
69017;2019;;;;;;;;;;;
69017;2020;;;;;;;;;;;
69017;2021;;;;;;;;;;;
69018;2014;;;;;;;;;;;
69018;2015;;;;;;;;;;;
69018;2016;;;;;;;;;;;
69018;2017;;;;;;;;;;;
69018;2018;;;;;;;;;;;
69018;2019;;;;;;;;;;;
69018;2020;;;;;;;;;;;
69018;2021;;;;;;;;;;;
69019;2014;72.2;68.7;;25.9;7.1;7.9;3.2;2.2;2.4;-13.1;3.5
69019;2015;;;72.0;25.6;8.1;7.6;3.1;2.3;2.2;-13.3;3.0
69019;2016;;;74.6;24.2;7.3;7.0;3.2;2.1;1.7;-13.1;3.0
69019;2017;;;74.8;24.3;7.4;6.9;3.2;2.1;1.6;-13.4;2.7
69019;2018;;;75.4;23.9;8.7;6.7;3.1;2.2;1.4;-14.7;2.8
69019;2019;;;74.9;24.4;7.3;7.3;3.1;2.8;1.4;-13.9;2.6
69019;2020;;;74.5;24.1;6.8;7.4;3.1;3.0;1.3;-12.8;2.2
69019;2021;;;76.9;23.8;6.2;6.5;2.8;2.6;1.1;-13.4;2.3
69020;2014;;;;;;;;;;;
69020;2015;;;;;;;;;;;
69020;2016;;;;;;;;;;;
69020;2017;;;;;;;;;;;
69020;2018;;;;;;;;;;;
69020;2019;;;;;;;;;;;
69020;2020;;;;;;;;;;;
69020;2021;;;;;;;;;;;
69021;2014;75.4;68.5;;25.5;12.0;3.7;2.6;0.4;0.7;-16.6;6.9
69021;2015;;;74.7;26.0;12.2;3.6;2.5;0.5;0.6;-16.5;6.3
69021;2016;;;75.6;24.9;12.9;3.6;2.3;0.7;0.7;-17.0;7.0
69021;2017;;;75.0;25.9;12.9;3.7;2.2;0.8;0.7;-17.5;6.4
69021;2018;;;74.5;25.7;14.8;3.4;2.1;0.7;0.6;-18.4;6.1
69021;2019;;;73.6;26.3;13.3;3.4;2.0;0.9;0.5;-16.6;5.6
69021;2020;;;73.1;26.5;12.5;3.5;1.9;1.1;0.5;-15.6;5.8
69021;2021;;;74.2;26.4;12.7;3.1;1.8;0.9;0.4;-16.4;6.2
69022;2014;;;;;;;;;;;
69022;2015;;;;;;;;;;;
69022;2016;;;;;;;;;;;
69022;2017;;;;;;;;;;;
69022;2018;;;;;;;;;;;
69022;2019;;;;;;;;;;;
69022;2020;;;;;;;;;;;
69022;2021;;;;;;;;;;;
69023;2014;;;;;;;;;;;
69023;2015;;;;;;;;;;;
69023;2016;;;;;;;;;;;
69023;2017;;;;;;;;;;;
69023;2018;;;;;;;;;;;
69023;2019;;;;;;;;;;;
69023;2020;;;;;;;;;;;
69023;2021;;;;;;;;;;;
69024;2014;72.6;67.0;;28.7;11.1;3.8;2.2;0.8;0.8;-16.2;5.6
69024;2015;;;73.2;29.1;10.9;3.6;2.0;0.9;0.8;-16.8;4.1
69024;2016;;;74.7;27.8;11.1;3.3;1.8;0.8;0.6;-16.9;5.3
69024;2017;;;74.9;28.6;10.6;3.2;1.7;0.9;0.6;-17.3;5.6
69024;2018;;;75.3;28.7;11.3;3.1;1.7;0.9;0.5;-18.4;6.2
69024;2019;;;74.6;29.6;10.0;3.4;1.7;1.2;0.5;-17.6;5.6
69024;2020;;;74.0;30.0;9.9;3.4;1.8;1.1;0.5;-17.3;5.4
69024;2021;;;75.5;29.1;9.5;3.1;1.7;1.0;0.4;-17.2;5.9
69026;2014;;;;;;;;;;;
69026;2015;;;;;;;;;;;
69026;2016;;;;;;;;;;;
69026;2017;;;;;;;;;;;
69026;2018;;;;;;;;;;;
69026;2019;;;;;;;;;;;
69026;2020;;;;;;;;;;;
69026;2021;;;;;;;;;;;
69027;2014;74.7;70.6;;28.0;11.4;3.9;2.1;0.9;0.9;-18.0;4.1
69027;2015;;;74.8;28.3;11.3;3.8;2.0;0.9;0.9;-18.2;4.1
69027;2016;;;75.4;28.3;10.5;3.8;1.9;1.1;0.9;-18.0;4.5
69027;2017;;;75.5;28.2;10.5;3.8;1.9;1.1;0.8;-18.0;4.0
69027;2018;;;77.1;27.5;10.8;3.8;1.8;1.2;0.8;-19.2;4.0
69027;2019;;;76.2;27.6;10.6;4.1;1.8;1.5;0.8;-18.5;3.9
69027;2020;;;76.5;27.5;9.3;4.4;1.8;1.8;0.8;-17.7;3.8
69027;2021;;;77.0;26.6;10.7;3.7;1.6;1.5;0.6;-18.0;3.9
69028;2014;80.1;75.0;;22.7;15.2;2.7;1.9;0.3;0.5;-20.7;5.1
69028;2015;;;81.1;22.4;14.7;2.6;1.7;0.4;0.5;-20.8;5.0
69028;2016;;;81.5;22.4;13.8;2.6;1.6;0.5;0.5;-20.3;5.2
69028;2017;;;82.7;22.1;12.7;2.8;1.7;0.6;0.5;-20.3;4.7
69028;2018;;;83.5;21.6;14.0;2.7;1.6;0.6;0.5;-21.8;4.7
69028;2019;;;83.5;21.1;14.0;2.9;1.5;0.9;0.5;-21.5;4.3
69028;2020;;;81.9;21.3;14.5;2.7;1.4;0.9;0.4;-20.4;3.6
69028;2021;;;82.7;21.4;14.3;2.4;1.4;0.7;0.3;-20.8;4.1
69029;2014;72.9;68.5;;28.1;9.6;6.7;2.9;1.9;1.9;-17.3;4.4
69029;2015;;;72.9;28.1;9.8;6.7;2.8;2.0;1.9;-17.5;4.4
69029;2016;;;73.8;27.6;8.7;7.1;2.8;2.3;2.0;-17.2;4.2
69029;2017;;;73.9;27.4;8.8;7.1;2.9;2.3;1.9;-17.2;4.2
69029;2018;;;75.1;27.4;8.6;7.2;2.9;2.5;1.8;-18.3;4.5
