id_commune;annee;insee_pop;insee_log
69001;2016;358;163
69001;2017;369;167
69001;2018;379;170
69001;2019;391;176
69001;2020;393;178
69001;2021;395;180
69001;2022;397;180
69001;2023;397;180
69001;2024;397;180
69002;2016;251;198
69002;2017;248;195
69002;2018;246;193
69002;2019;245;193
69002;2020;244;193
69002;2021;243;193
69002;2022;239;193
69002;2023;239;193
69002;2024;239;193
69003;2016;2833;1129
69003;2017;2880;1160
69003;2018;2911;1191
69003;2019;2947;1206
69003;2020;2982;1221
69003;2021;2991;1231
69003;2022;3013;1231
69003;2023;3013;1231
69003;2024;3013;1231
69004;2016;758;293
69004;2017;763;293
69004;2018;768;294
69004;2019;768;295
69004;2020;766;295
69004;2021;766;296
69004;2022;772;296
69004;2023;772;296
69004;2024;772;296
69005;2016;571;220
69005;2017;578;222
69005;2018;586;224
69005;2019;584;224
69005;2020;589;227
69005;2021;607;235
69005;2022;629;235
69005;2023;629;235
69005;2024;629;235
69006;2016;5024;2724
69006;2017;4976;2690
69006;2018;4929;2657
69006;2019;4919;2676
69006;2020;4906;2692
69006;2021;4840;2679
69006;2022;4858;2679
69006;2023;4858;2679
69006;2024;4858;2679
69007;2016;2712;1241
69007;2017;2713;1249
69007;2018;2715;1256
69007;2019;2749;1278
69007;2020;2743;1281
69007;2021;2751;1301
69007;2022;2760;1301
69007;2023;2760;1301
69007;2024;2760;1301
69008;2016;628;286
69008;2017;640;289
69008;2018;653;292
69008;2019;668;298
69008;2020;675;300
69008;2021;677;300
69008;2022;674;300
69008;2023;674;300
69008;2024;674;300
69009;2016;7094;2915
69009;2017;7178;2951
69009;2018;7443;3064
69009;2019;7538;3104
69009;2020;7754;3209
69009;2021;7947;3316
69009;2022;8139;3316
69009;2023;8139;3316
69009;2024;8139;3316
69010;2016;6421;3092
69010;2017;6398;3105
69010;2018;6418;3140
69010;2019;6410;3161
69010;2020;6437;3224
69010;2021;6453;3289
69010;2022;6469;3289
69010;2023;6469;3289
69010;2024;6469;3289
69012;2016;627;292
69012;2017;622;288
69012;2018;616;284
69012;2019;611;284
69012;2020;606;284
69012;2021;603;285
69012;2022;616;285
69012;2023;616;285
69012;2024;616;285
69013;2016;3686;1512
69013;2017;3778;1547
69013;2018;3847;1578
69013;2019;3897;1601
69013;2020;4063;1673
69013;2021;4215;1772
69013;2022;4408;1772
69013;2023;4408;1772
69013;2024;4408;1772
69014;2016;1136;463
69014;2017;1127;461
69014;2018;1126;463
69014;2019;1129;467
69014;2020;1122;468
69014;2021;1115;470
69014;2022;1108;470
69014;2023;1108;470
69014;2024;1108;470
69016;2016;121;85
69016;2017;120;85
69016;2018;121;85
69016;2019;121;85
69016;2020;121;89
69016;2021;122;88
69016;2022;122;88
69016;2023;122;88
69016;2024;122;88
69017;2016;705;334
69017;2017;731;343
69017;2018;739;345
69017;2019;745;347
69017;2020;745;346
69017;2021;752;353
69017;2022;758;353
69017;2023;758;353
69017;2024;758;353
69018;2016;2122;1193
69018;2017;2157;1210
69018;2018;2155;1216
69018;2019;2148;1220
69018;2020;2144;1226
69018;2021;2123;1238
69018;2022;2103;1238
69018;2023;2103;1238
69018;2024;2103;1238
69019;2016;12776;5765
69019;2017;12971;5857
69019;2018;13057;5914
69019;2019;13314;5972
69019;2020;13336;6031
69019;2021;13542;6117
69019;2022;13767;6117
69019;2023;13767;6117
69019;2024;13767;6117
69020;2016;635;251
69020;2017;631;251
69020;2018;661;265
69020;2019;681;275
69020;2020;693;280
69020;2021;705;285
69020;2022;717;285
69020;2023;717;285
69020;2024;717;285
69021;2016;2266;1034
69021;2017;2293;1084
69021;2018;2317;1099
69021;2019;2340;1113
69021;2020;2346;1126
69021;2021;2348;1137
69021;2022;2351;1137
69021;2023;2351;1137
69021;2024;2351;1137
69022;2016;574;258
69022;2017;575;258
69022;2018;566;271
69022;2019;558;267
69022;2020;549;263
69022;2021;542;263
69022;2022;543;263
69022;2023;543;263
69022;2024;543;263
69023;2016;1583;688
69023;2017;1631;705
69023;2018;1630;704
69023;2019;1635;706
69023;2020;1646;710
69023;2021;1669;725
69023;2022;1692;725
69023;2023;1692;725
69023;2024;1692;725
69024;2016;3966;1814
69024;2017;4037;1849
69024;2018;4088;1965
69024;2019;4122;1971
69024;2020;4157;1976
69024;2021;4155;2000
69024;2022;4143;2000
69024;2023;4143;2000
69024;2024;4143;2000
69026;2016;524;211
69026;2017;530;211
69026;2018;537;211
69026;2019;548;213
69026;2020;542;215
69026;2021;535;216
69026;2022;528;216
69026;2023;528;216
69026;2024;528;216
69027;2016;11265;5063
69027;2017;11434;5117
69027;2018;11697;5238
69027;2019;12097;5414
69027;2020;12403;5605
69027;2021;12388;5713
69027;2022;12330;5713
69027;2023;12330;5713
69027;2024;12330;5713
69028;2016;6067;2501
