code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;RHONE;001;Affoux;2012;2;250;26;224;17;0;17;207;10.4;89.6;6.8;7.59;0.0;0.0;6.8;7.59;82.8;92.41;1;M;HOLLANDE;François;58;23.2;28.02;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;001;Affoux;2012;2;250;26;224;17;0;17;207;10.4;89.6;6.8;7.59;0.0;0.0;6.8;7.59;82.8;92.41;2;M;SARKOZY;Nicolas;149;59.6;71.98;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;010;L'Arbresle;2012;2;3858;732;3126;165;0;165;2961;18.97;81.03;4.28;5.28;0.0;0.0;4.28;5.28;76.75;94.72;1;M;HOLLANDE;François;1578;40.9;53.29;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;010;L'Arbresle;2012;2;3858;732;3126;165;0;165;2961;18.97;81.03;4.28;5.28;0.0;0.0;4.28;5.28;76.75;94.72;2;M;SARKOZY;Nicolas;1383;35.85;46.71;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;100;Irigny;2012;2;5948;909;5039;286;0;286;4753;15.28;84.72;4.81;5.68;0.0;0.0;4.81;5.68;79.91;94.32;1;M;HOLLANDE;François;2382;40.05;50.12;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;100;Irigny;2012;2;5948;909;5039;286;0;286;4753;15.28;84.72;4.81;5.68;0.0;0.0;4.81;5.68;79.91;94.32;2;M;SARKOZY;Nicolas;2371;39.86;49.88;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;101;Jarnioux;2012;2;475;64;411;17;0;17;394;13.47;86.53;3.58;4.14;0.0;0.0;3.58;4.14;82.95;95.86;1;M;HOLLANDE;François;172;36.21;43.65;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;101;Jarnioux;2012;2;475;64;411;17;0;17;394;13.47;86.53;3.58;4.14;0.0;0.0;3.58;4.14;82.95;95.86;2;M;SARKOZY;Nicolas;222;46.74;56.35;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;102;Joux;2012;2;498;82;416;34;0;34;382;16.47;83.53;6.83;8.17;0.0;0.0;6.83;8.17;76.71;91.83;1;M;HOLLANDE;François;167;33.53;43.72;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;102;Joux;2012;2;498;82;416;34;0;34;382;16.47;83.53;6.83;8.17;0.0;0.0;6.83;8.17;76.71;91.83;2;M;SARKOZY;Nicolas;215;43.17;56.28;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;103;Juliénas;2012;2;706;80;626;43;0;43;583;11.33;88.67;6.09;6.87;0.0;0.0;6.09;6.87;82.58;93.13;1;M;HOLLANDE;François;215;30.45;36.88;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;103;Juliénas;2012;2;706;80;626;43;0;43;583;11.33;88.67;6.09;6.87;0.0;0.0;6.09;6.87;82.58;93.13;2;M;SARKOZY;Nicolas;368;52.12;63.12;UMP;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
69;RHONE;104;Jullié;2012;2;322;64;258;20;0;20;238;19.88;80.12;6.21;7.75;0.0;0.0;6.21;7.75;73.91;92.25;1;M;HOLLANDE;François;86;26.71;36.13;SOC;2012-pres-t2-commune-rhone-69-silver.csv;2026-03-28T22:06:21
