bureau_id;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Code de la commune;Libellé de la commune;Code du b.vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_08_001_0001;69;Rhône;08;8ème circonscription;001;Affoux;0001;257;39;15.18;218;84.82;20;7.78;9.17;7;2.72;3.21;191;74.32;87.61;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_002_0001;69;Rhône;09;9ème circonscription;002;Aigueperse;0001;224;51;22.77;173;77.23;13;5.8;7.51;11;4.91;6.36;149;66.52;86.13;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_05_003_0001;69;Rhône;05;5ème circonscription;003;Albigny-sur-Saône;0001;884;208;23.53;676;76.47;64;7.24;9.47;15;1.7;2.22;597;67.53;88.31;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_05_003_0002;69;Rhône;05;5ème circonscription;003;Albigny-sur-Saône;0002;781;194;24.84;587;75.16;46;5.89;7.84;11;1.41;1.87;530;67.86;90.29;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_004_0001;69;Rhône;09;9ème circonscription;004;Alix;0001;455;95;20.88;360;79.12;42;9.23;11.67;4;0.88;1.11;314;69.01;87.22;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_005_0001;69;Rhône;09;9ème circonscription;005;Ambérieux;0001;420;69;16.43;351;83.57;35;8.33;9.97;10;2.38;2.85;306;72.86;87.18;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_006_0001;69;Rhône;08;8ème circonscription;006;Amplepuis;0001;894;241;26.96;653;73.04;51;5.7;7.81;21;2.35;3.22;581;64.99;88.97;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_006_0002;69;Rhône;08;8ème circonscription;006;Amplepuis;0002;1018;257;25.25;761;74.75;69;6.78;9.07;18;1.77;2.37;674;66.21;88.57;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_006_0003;69;Rhône;08;8ème circonscription;006;Amplepuis;0003;760;156;20.53;604;79.47;53;6.97;8.77;25;3.29;4.14;526;69.21;87.09;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_006_0004;69;Rhône;08;8ème circonscription;006;Amplepuis;0004;919;176;19.15;743;80.85;84;9.14;11.31;18;1.96;2.42;641;69.75;86.27;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_11_007_0001;69;Rhône;11;11ème circonscription;007;Ampuis;0001;1248;227;18.19;1021;81.81;98;7.85;9.6;25;2.0;2.45;898;71.96;87.95;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_11_007_0002;69;Rhône;11;11ème circonscription;007;Ampuis;0002;746;134;17.96;612;82.04;55;7.37;8.99;20;2.68;3.27;537;71.98;87.75;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_008_0001;69;Rhône;08;8ème circonscription;008;Ancy;0001;464;61;13.15;403;86.85;43;9.27;10.67;10;2.16;2.48;350;75.43;86.85;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_009_0001;69;Rhône;09;9ème circonscription;009;Anse;0001;777;157;20.21;620;79.79;51;6.56;8.23;17;2.19;2.74;552;71.04;89.03;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_009_0002;69;Rhône;09;9ème circonscription;009;Anse;0002;1096;266;24.27;830;75.73;60;5.47;7.23;21;1.92;2.53;749;68.34;90.24;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_009_0003;69;Rhône;09;9ème circonscription;009;Anse;0003;855;187;21.87;668;78.13;53;6.2;7.93;10;1.17;1.5;605;70.76;90.57;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_009_0004;69;Rhône;09;9ème circonscription;009;Anse;0004;921;159;17.26;762;82.74;77;8.36;10.1;13;1.41;1.71;672;72.96;88.19;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_009_0005;69;Rhône;09;9ème circonscription;009;Anse;0005;922;209;22.67;713;77.33;63;6.83;8.84;20;2.17;2.81;630;68.33;88.36;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_010_0001;69;Rhône;08;8ème circonscription;010;L'Arbresle;0001;910;172;18.9;738;81.1;65;7.14;8.81;25;2.75;3.39;648;71.21;87.8;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
