bureau_id;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exp;extraction_source_url;ingestion_timestamp;source_file_name
69_08_001_0001;1;M;MACRON;Emmanuel;93;36,19;48,69;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_002_0001;1;M;MACRON;Emmanuel;84;37,50;56,38;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_05_003_0001;1;M;MACRON;Emmanuel;433;48,98;72,53;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_05_003_0002;1;M;MACRON;Emmanuel;342;43,79;64,53;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_004_0001;1;M;MACRON;Emmanuel;204;44,84;64,97;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_09_005_0001;1;M;MACRON;Emmanuel;136;32,38;44,44;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_006_0001;1;M;MACRON;Emmanuel;318;35,57;54,73;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_006_0002;1;M;MACRON;Emmanuel;428;42,04;63,50;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_006_0003;1;M;MACRON;Emmanuel;297;39,08;56,46;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
69_08_006_0004;1;M;MACRON;Emmanuel;376;40,91;58,66;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-18T14:27:53.351361;2017_burvot_t2_france_entiere.txt
