commune_id;Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_001;69;Rhône;001;Affoux;Complet;316;49;15.51;267;84.49;21;6.65;7.87;9;2.85;3.37;237;75.0;88.76;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_002;69;Rhône;002;Aigueperse;Complet;217;47;21.66;170;78.34;9;4.15;5.29;4;1.84;2.35;157;72.35;92.35;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_003;69;Rhône;003;Albigny-sur-Saône;Complet;1860;504;27.1;1356;72.9;81;4.35;5.97;18;0.97;1.33;1257;67.58;92.7;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_004;69;Rhône;004;Alix;Complet;470;95;20.21;375;79.79;35;7.45;9.33;4;0.85;1.07;336;71.49;89.6;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_005;69;Rhône;005;Ambérieux;Complet;407;62;15.23;345;84.77;10;2.46;2.9;3;0.74;0.87;332;81.57;96.23;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_006;69;Rhône;006;Amplepuis;Complet;3506;904;25.78;2602;74.22;139;3.96;5.34;53;1.51;2.04;2410;68.74;92.62;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_007;69;Rhône;007;Ampuis;Complet;2138;457;21.38;1681;78.62;112;5.24;6.66;30;1.4;1.78;1539;71.98;91.55;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_008;69;Rhône;008;Ancy;Complet;494;88;17.81;406;82.19;14;2.83;3.45;6;1.21;1.48;386;78.14;95.07;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_009;69;Rhône;009;Anse;Complet;5059;1289;25.48;3770;74.52;231;4.57;6.13;76;1.5;2.02;3463;68.45;91.86;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_010;69;Rhône;010;L'Arbresle;Complet;4172;1154;27.66;3018;72.34;215;5.15;7.12;65;1.56;2.15;2738;65.63;90.72;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_012;69;Rhône;012;Les Ardillats;Complet;467;100;21.41;367;78.59;30;6.42;8.17;4;0.86;1.09;333;71.31;90.74;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_013;69;Rhône;013;Arnas;Complet;2846;656;23.05;2190;76.95;131;4.6;5.98;37;1.3;1.69;2022;71.05;92.33;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_014;69;Rhône;014;Aveize;Complet;799;145;18.15;654;81.85;27;3.38;4.13;17;2.13;2.6;610;76.35;93.27;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_016;69;Rhône;016;Azolette;Complet;130;29;22.31;101;77.69;8;6.15;7.92;1;0.77;0.99;92;70.77;91.09;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_017;69;Rhône;017;Bagnols;Complet;583;115;19.73;468;80.27;24;4.12;5.13;6;1.03;1.28;438;75.13;93.59;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_018;69;Rhône;018;Beaujeu;Complet;1298;315;24.27;983;75.73;60;4.62;6.1;10;0.77;1.02;913;70.34;92.88;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_019;69;Rhône;019;Belleville-en-Beaujolais;Complet;8451;2506;29.65;5945;70.35;319;3.77;5.37;78;0.92;1.31;5548;65.65;93.32;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_020;69;Rhône;020;Belmont-d'Azergues;Complet;518;88;16.99;430;83.01;36;6.95;8.37;6;1.16;1.4;388;74.9;90.23;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_021;69;Rhône;021;Bessenay;Complet;1676;354;21.12;1322;78.88;93;5.55;7.03;18;1.07;1.36;1211;72.26;91.6;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_022;69;Rhône;022;Bibost;Complet;411;80;19.46;331;80.54;19;4.62;5.74;2;0.49;0.6;310;75.43;93.66;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_023;69;Rhône;023;Blacé;Complet;1154;203;17.59;951;82.41;57;4.94;5.99;21;1.82;2.21;873;75.65;91.8;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_024;69;Rhône;024;Val d'Oingt;Complet;3284;706;21.5;2578;78.5;160;4.87;6.21;45;1.37;1.75;2373;72.26;92.05;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_026;69;Rhône;026;Le Breuil;Complet;372;85;22.85;287;77.15;11;2.96;3.83;4;1.08;1.39;272;73.12;94.77;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
