id_nuance;libelle_nuance;transformation_timestamp;source_dataset
EXG;Extrême gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
COM;Communiste;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
PG;Parti de Gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
SOC;Socialiste;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
RDG;Radical de Gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
DVG;Divers gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
VEC;Europe Ecologie / Les Verts;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
ECO;Ecologiste;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
REG;Régionaliste;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
AUT;Autres;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
MODM;MODEM;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
M-NC;Majorité présidentielle;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
M;Autres candidats majorité présidentielle;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
UMP;Union pour un Mouvement Populaire;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
DVD;Divers droite;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
FN;Front National;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
EXD;Extrême droite;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LEXG;Liste d'extrême-gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LCOP;Liste du PCF et du Parti de gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LSOC;Liste du Parti socialiste;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LDVG;Liste divers gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LVEC;Liste des Verts;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LREG;Liste régionaliste;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LAUT;Autre liste;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LCMD;Liste centre-MoDem;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LMAJ;Liste de la majorité;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LDVD;Liste divers droite;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LDSV;Liste souverainiste de droite;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LFN;Liste du Front national;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LEXD;Liste d'extrême-droite;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LFG;Liste Front de Gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LPG;Liste du Parti de Gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LCOM;Liste du Parti communiste français;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LUG;Liste Union de la Gauche;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LDIV;Liste Divers;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LMDM;Liste Modem;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LUC;Liste Union du Centre;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LUDI;Liste Union Démocrates et Indépendants;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LUMP;Liste Union pour un Mouvement Populaire;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
LUD;Liste Union de la Droite;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
CPNT;Chasse Pêche Nature Traditions;2026-03-28T02:12:28.066136;bronze_dictionnaire_des_nuances_politiques.csv
