bureau_id;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Code de la commune;Libellé de la commune;Code du b.vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_08_001_0001;69;Rhône;08;8ème circonscription;001;Affoux;0001;316;60;18.99;256;81.01;4;1.27;1.56;2;0.63;0.78;250;79.11;97.66;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_09_002_0001;69;Rhône;09;9ème circonscription;002;Aigueperse;0001;217;58;26.73;159;73.27;5;2.3;3.14;1;0.46;0.63;153;70.51;96.23;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_05_003_0001;69;Rhône;05;5ème circonscription;003;Albigny-sur-Saône;0001;999;194;19.42;805;80.58;11;1.1;1.37;6;0.6;0.75;788;78.88;97.89;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_05_003_0002;69;Rhône;05;5ème circonscription;003;Albigny-sur-Saône;0002;862;224;25.99;638;74.01;6;0.7;0.94;4;0.46;0.63;628;72.85;98.43;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_09_004_0001;69;Rhône;09;9ème circonscription;004;Alix;0001;470;73;15.53;397;84.47;6;1.28;1.51;2;0.43;0.5;389;82.77;97.98;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_09_005_0001;69;Rhône;09;9ème circonscription;005;Ambérieux;0001;407;60;14.74;347;85.26;4;0.98;1.15;1;0.25;0.29;342;84.03;98.56;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_08_006_0001;69;Rhône;08;8ème circonscription;006;Amplepuis;0001;864;224;25.93;640;74.07;18;2.08;2.81;5;0.58;0.78;617;71.41;96.41;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_08_006_0002;69;Rhône;08;8ème circonscription;006;Amplepuis;0002;961;233;24.25;728;75.75;12;1.25;1.65;6;0.62;0.82;710;73.88;97.53;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_08_006_0003;69;Rhône;08;8ème circonscription;006;Amplepuis;0003;719;152;21.14;567;78.86;22;3.06;3.88;8;1.11;1.41;537;74.69;94.71;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
69_08_006_0004;69;Rhône;08;8ème circonscription;006;Amplepuis;0004;959;192;20.02;767;79.98;17;1.77;2.22;5;0.52;0.65;745;77.69;97.13;https://static.data.gouv.fr/resources/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/20220414-152612/resultats-par-niveau-burvot-t1-france-entiere.xlsx;2026-03-07T20:42:59.836472;burvot_t1_france_entiere.xlsx
