commune_id;candidate_id;candidate_slot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exp;extraction_source_url;ingestion_timestamp;source_file_name
69_001;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;98;31.01;41.35;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_002;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;74;34.1;47.13;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_003;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;823;44.25;65.47;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_004;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;194;41.28;57.74;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_005;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;151;37.1;45.48;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_006;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;1281;36.54;53.15;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_007;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;784;36.67;50.94;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_008;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;207;41.9;53.63;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_009;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;2218;43.84;64.05;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_010;1_MACRON_Emmanuel;.0;1;M;MACRON;Emmanuel;1735;41.59;63.37;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
