code_insee;nom_standard;typecom;typecom_texte;reg_code;reg_nom;dep_code;dep_nom;canton_code;canton_nom;epci_code;epci_nom;academie_code;academie_nom;code_postal;codes_postaux;zone_emploi;code_insee_centre_zone_emploi;code_unite_urbaine;nom_unite_urbaine;taille_unite_urbaine;type_commune_unite_urbaine;statut_commune_unite_urbaine;population;superficie_hectare;superficie_km2;densite;altitude_moyenne;altitude_minimale;altitude_maximale;latitude_mairie;longitude_mairie;latitude_centre;longitude_centre;grille_densite;grille_densite_texte;niveau_equipements_services;niveau_equipements_services_texte;gentile;extraction_source_url;ingestion_timestamp;source_file_name
69001;Affoux;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6910;Tarare;200040566;CA de l'Ouest Rhodanien;10;Lyon;69170;69170;08430;69243;69000;;0;HORS UNITE URBAINE;H;395;1068;11;37;750;498;960;45.845;4.404;45.844;4.414;6;Rural à habitat dispersé;0;communes non pôle;Affousiens;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69002;Aigueperse;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6911;Thizy-les-Bourgs;200067817;CC Saône-Beaujolais;10;Lyon;69790;69790;08434;69264;69000;;0;HORS UNITE URBAINE;H;243;1290;13;19;489;403;610;46.277;4.435;46.28;4.423;7;Rural à habitat très dispersé;0;communes non pôle;Aiguepersirons;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69003;Albigny-sur-Saône;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6999;Lyon;200046977;Métropole de Lyon;10;Lyon;69250;69250;08421;69123;00760;Lyon;7;UNITE URBAINE;B;2991;266;3;1124;223;167;0;45.871;4.832;45.864;4.831;4;Ceintures urbaines;2;centres intermédiaires d'équipements et de services;Albignolais;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69004;Alix;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6904;Val d'Oingt;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69380;69380;08421;69123;69301;Val d'Oingt;3;UNITE URBAINE;B;766;360;4;213;310;258;408;45.911;4.653;45.917;4.655;6;Rural à habitat dispersé;0;communes non pôle;Alixois;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69005;Ambérieux;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6901;Anse;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69480;69480;08421;69123;00760;Lyon;7;UNITE URBAINE;B;607;461;5;132;171;167;176;45.928;4.737;45.929;4.741;4;Ceintures urbaines;1;centres locaux d'équipements et de services;Ambarrois, Ambarroises;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69006;Amplepuis;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6911;Thizy-les-Bourgs;200040566;CA de l'Ouest Rhodanien;10;Lyon;69550;69550;08430;69243;69111;Amplepuis;1;UNITE URBAINE;I;4840;3875;39;125;522;336;868;45.973;4.332;45.965;4.327;5;Bourgs ruraux;2;centres intermédiaires d'équipements et de services;Amplepuisiens;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69007;Ampuis;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6908;Mornant;200077014;CA Vienne Condrieu;10;Lyon;69420;69420;08433;38544;00559;Vienne;5;UNITE URBAINE;B;2751;1547;15;178;310;145;536;45.489;4.81;45.503;4.803;5;Bourgs ruraux;1;centres locaux d'équipements et de services;Ampuisais, Ampuisaise;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69008;Ancy;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6910;Tarare;200040566;CA de l'Ouest Rhodanien;10;Lyon;69490;69490;08430;69243;69000;;0;HORS UNITE URBAINE;H;677;1188;12;57;597;394;852;45.838;4.509;45.832;4.504;6;Rural à habitat dispersé;0;communes non pôle;Ancéen, Ancéenne;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69009;Anse;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6901;Anse;200040574;CC Beaujolais Pierres Dorées;10;Lyon;69480;69480;08421;69123;00760;Lyon;7;UNITE URBAINE;B;7947;1536;15;517;226;167;358;45.936;4.717;45.942;4.708;2;Centres urbains intermédiaires;2;centres intermédiaires d'équipements et de services;Ansois;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69010;L'Arbresle;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6902;L'Arbresle;246900625;CC du Pays de l'Arbresle (CCPA);10;Lyon;69210;69591, 69592, 69593, 69596, 69210;08421;69123;69401;L'Arbresle;4;UNITE URBAINE;C;6453;331;3;1950;260;212;304;45.835;4.615;45.836;4.609;2;Centres urbains intermédiaires;3;centres structurants d'équipements et de services;Arbreslois;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69012;Les Ardillats;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6903;Belleville-en-Beaujolais;200067817;CC Saône-Beaujolais;10;Lyon;69430;69430;08434;69264;69000;;0;HORS UNITE URBAINE;H;603;2286;23;26;583;334;1004;46.179;4.542;46.189;4.536;7;Rural à habitat très dispersé;0;communes non pôle;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69013;Arnas;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6907;Gleizé;200040590;CA Villefranche Beaujolais Saône;10;Lyon;69400;69654, 69656, 69653, 69657, 69659, 69652, 69400, 69655, 69658;08434;69264;00760;Lyon;7;UNITE URBAINE;B;4215;1778;18;237;191;167;264;46.024;4.707;46.019;4.711;5;Bourgs ruraux;2;centres intermédiaires d'équipements et de services;Arnassiennes, Arnassiens;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69014;Aveize;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6912;Vaugneray;200066587;CC des Monts du Lyonnais;10;Lyon;69610;69610;08428;42218;69000;;0;HORS UNITE URBAINE;H;1115;1688;17;66;687;426;933;45.683;4.476;45.679;4.476;6;Rural à habitat dispersé;1;centres locaux d'équipements et de services;;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
69016;Azolette;COM;commune;84;Auvergne-Rhône-Alpes;69;Rhône;6911;Thizy-les-Bourgs;200067817;CC Saône-Beaujolais;10;Lyon;69790;69790;08434;69264;69000;;0;HORS UNITE URBAINE;H;122;427;4;29;581;480;650;46.193;4.418;46.192;4.413;7;Rural à habitat très dispersé;0;communes non pôle;Azolettons;https://www.data.gouv.fr/api/1/datasets/r/f5df602b-3800-44d7-b2df-fa40a0350325;2026-03-18 14:30:18.054404;liste_communes_france.csv
