id_commune,target_REM_wins_2022_t2,abstentions_2012_t1,abstentions_2012_t2,abstentions_2017_t1,abstentions_2017_t2,abstentions_2022_t1,abstentions_2022_t2,blancs_2012_t1,blancs_2012_t2,blancs_2017_t1,blancs_2017_t2,blancs_2022_t1,blancs_2022_t2,exprimes_2012_t1,exprimes_2012_t2,exprimes_2017_t1,exprimes_2017_t2,exprimes_2022_t1,exprimes_2022_t2,inscrits_2012_t1,inscrits_2012_t2,inscrits_2017_t1,inscrits_2017_t2,inscrits_2022_t1,inscrits_2022_t2,insee_log,insee_pop,nuls_2012_t1,nuls_2012_t2,nuls_2017_t1,nuls_2017_t2,nuls_2022_t1,nuls_2022_t2,pct_abs_ins_2012_t1,pct_abs_ins_2012_t2,pct_abs_ins_2017_t1,pct_abs_ins_2017_t2,pct_abs_ins_2022_t1,pct_abs_ins_2022_t2,pct_blancs_ins_2012_t1,pct_blancs_ins_2012_t2,pct_blancs_ins_2017_t1,pct_blancs_ins_2017_t2,pct_blancs_ins_2022_t1,pct_blancs_ins_2022_t2,pct_nuls_ins_2012_t1,pct_nuls_ins_2012_t2,pct_nuls_ins_2017_t1,pct_nuls_ins_2017_t2,pct_nuls_ins_2022_t1,pct_nuls_ins_2022_t2,pct_vot_ins_2012_t1,pct_vot_ins_2012_t2,pct_vot_ins_2017_t1,pct_vot_ins_2017_t2,pct_vot_ins_2022_t1,pct_vot_ins_2022_t2,sec_count_cambriolages_de_logement,sec_count_destructions_et_degradations_volontaires,sec_count_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_count_trafic_de_stupefiants,sec_count_usage_de_stupefiants,sec_count_usage_de_stupefiants_afd,sec_count_violences_physiques_hors_cadre_familial,sec_count_violences_physiques_intrafamiliales,sec_count_violences_sexuelles,sec_count_vols_avec_armes,sec_count_vols_d_accessoires_sur_vehicules,sec_count_vols_dans_les_vehicules,sec_count_vols_de_vehicule,sec_count_vols_sans_violence_contre_des_personnes,sec_count_vols_violents_sans_arme,sec_rate_cambriolages_de_logement,sec_rate_destructions_et_degradations_volontaires,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_rate_trafic_de_stupefiants,sec_rate_usage_de_stupefiants,sec_rate_usage_de_stupefiants_afd,sec_rate_violences_physiques_hors_cadre_familial,sec_rate_violences_physiques_intrafamiliales,sec_rate_violences_sexuelles,sec_rate_vols_avec_armes,sec_rate_vols_d_accessoires_sur_vehicules,sec_rate_vols_dans_les_vehicules,sec_rate_vols_de_vehicule,sec_rate_vols_sans_violence_contre_des_personnes,sec_rate_vols_violents_sans_arme,share_nuance__2012_t1,share_nuance__2012_t2,share_nuance_com_2022_t1,share_nuance_div_2012_t1,share_nuance_div_2017_t1,share_nuance_dlf_2012_t1,share_nuance_dlf_2017_t1,share_nuance_dlf_2022_t1,share_nuance_eelv_2022_t1,share_nuance_exg_2012_t1,share_nuance_exg_2017_t1,share_nuance_exg_2022_t1,share_nuance_fi_2012_t1,share_nuance_fi_2017_t1,share_nuance_fi_2022_t1,share_nuance_lr_2017_t1,share_nuance_lr_2022_t1,share_nuance_rec_2022_t1,share_nuance_rem_2017_t1,share_nuance_rem_2017_t2,share_nuance_rem_2022_t1,share_nuance_res_2017_t1,share_nuance_res_2022_t1,share_nuance_rn_2012_t1,share_nuance_rn_2017_t1,share_nuance_rn_2017_t2,share_nuance_rn_2022_t1,share_nuance_soc_2017_t1,share_nuance_soc_2022_t1,votants_2012_t1,votants_2012_t2,votants_2017_t1,votants_2017_t2,votants_2022_t1,votants_2022_t2
69001,0,25.0,26.0,29.0,39.0,60.0,49.0,7.0,17.0,0.0,20.0,4.0,21.0,218.0,207.0,227.0,191.0,250.0,237.0,250.0,250.0,259.0,257.0,316.0,316.0,180.0,397.0,0.0,0.0,3.0,7.0,2.0,9.0,10.0,10.4,11.2,15.18,18.99,15.51,2.8,6.8,0.0,7.78,1.27,6.65,0.0,0.0,1.16,2.72,0.63,2.85,90.0,89.6,88.8,84.82,81.01,84.49,0.0,3.3106061,4.2666667,0.0,0.0,0.0,0.0,3.0404624,0.0,0.0,2.7266667,0.0,0.0,0.0,0.0,0.0,3.5081804,5.0485131,0.0,0.0,0.0,0.0,1.9820933,0.0,0.0,1.1839424,0.0,0.0,0.0,0.0,57.34,100.0,1.6,0.0,1.32,6.42,6.61,4.4,2.4,2.75,2.2,0.0,5.5,10.57,10.8,20.26,6.8,8.8,20.26,48.69,23.2,2.64,6.8,27.98,33.04,51.31,35.2,3.08,0.0,225.0,224.0,230.0,218.0,256.0,267.0
69002,0,42.0,43.0,47.0,51.0,58.0,47.0,6.0,19.0,4.0,13.0,5.0,9.0,176.0,162.0,170.0,149.0,153.0,157.0,224.0,224.0,224.0,224.0,217.0,217.0,193.0,239.0,0.0,0.0,3.0,11.0,1.0,4.0,18.75,19.2,20.98,22.77,26.73,21.66,2.68,8.48,1.79,5.8,2.3,4.15,0.0,0.0,1.34,4.91,0.46,1.84,81.25,80.8,79.02,77.23,73.27,78.34,0.0,3.3106061,4.2666667,0.0,0.0,0.0,0.0,3.0404624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5081804,5.0485131,0.0,0.0,0.0,0.0,1.9820933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.38,100.0,1.31,1.14,0.59,0.0,7.65,4.58,1.31,1.71,1.76,1.96,5.11,8.82,5.88,28.24,9.8,5.88,20.0,56.38,31.37,0.59,5.23,34.66,29.41,43.62,31.37,2.94,1.31,182.0,181.0,177.0,173.0,159.0,170.0
69003,1,272.0,263.0,317.0,402.0,418.0,504.0,24.0,62.0,24.0,110.0,17.0,81.0,1287.0,1258.0,1320.0,1127.0,1416.0,1257.0,1583.0,1583.0,1665.0,1665.0,1861.0,1860.0,1231.0,3013.0,0.0,0.0,4.0,26.0,10.0,18.0,17.18,16.61,19.04,24.14,22.46,27.1,1.52,3.92,1.44,6.61,0.91,4.35,0.0,0.0,0.24,1.56,0.54,0.97,82.82,83.39,80.96,75.86,77.54,72.9,2.6492537,30.0,17.0,1.7521368,3.0299401,6.2348485,2.721519,8.0,2.4517766,0.0,2.7266667,9.0,6.0,18.0,1.7640449,5.1599952,9.9568536,5.6422171,0.3375502,1.306157,1.7948427,1.4219906,2.655161,1.0619796,0.0,1.1839424,2.9870561,1.9913707,5.9741122,0.3546356,71.80000000000001,100.0,1.06,0.7,0.91,1.48,5.53,1.55,6.14,1.63,1.44,0.77,7.61,15.38,19.14,25.98,6.21,8.55,25.61,68.77,32.49,0.76,2.9,16.78,18.11,31.23,19.63,6.29,1.55,1311.0,1320.0,1348.0,1263.0,1443.0,1356.0
69004,1,49.0,58.0,82.0,95.0,73.0,95.0,9.0,27.0,11.0,42.0,6.0,35.0,359.0,332.0,360.0,314.0,389.0,336.0,417.0,417.0,455.0,455.0,470.0,470.0,296.0,772.0,0.0,0.0,2.0,4.0,2.0,4.0,11.75,13.91,18.02,20.88,15.53,20.21,2.16,6.47,2.42,9.23,1.28,7.45,0.0,0.0,0.44,0.88,0.43,0.85,88.25,86.09,81.98,79.12,84.47,79.79,2.6492537,3.3106061,4.2666667,0.0,3.0299401,6.2348485,2.721519,3.0404624,2.4517766,0.0,2.7266667,2.4964539,2.3846154,2.6805556,0.0,5.1599952,3.5081804,5.0485131,0.0,1.306157,1.7948427,1.4219906,1.9820933,1.0619796,0.0,1.1839424,1.5184457,1.4076726,2.2745888,0.0,64.34,100.0,2.83,0.56,2.5,2.51,8.06,2.57,6.68,2.23,0.83,0.26,8.08,13.33,13.62,16.67,6.43,9.25,26.67,64.97,28.79,0.83,2.06,22.28,24.44,35.03,26.22,6.67,1.29,368.0,359.0,373.0,360.0,397.0,375.0
69005,0,49.0,59.0,63.0,69.0,60.0,62.0,5.0,20.0,8.0,35.0,4.0,10.0,335.0,310.0,342.0,306.0,342.0,332.0,389.0,389.0,420.0,420.0,407.0,407.0,235.0,629.0,0.0,0.0,7.0,10.0,1.0,3.0,12.6,15.17,15.0,16.43,14.74,15.23,1.29,5.14,1.9,8.33,0.98,2.46,0.0,0.0,1.67,2.38,0.25,0.74,87.4,84.83,85.0,83.57,85.26,84.77,2.6492537,3.3106061,4.2666667,0.0,3.0299401,6.2348485,2.721519,3.0404624,2.4517766,0.0,2.7266667,2.4964539,2.3846154,2.6805556,1.7640449,5.1599952,3.5081804,5.0485131,0.0,1.306157,1.7948427,1.4219906,1.9820933,1.0619796,0.0,1.1839424,1.5184457,1.4076726,2.2745888,0.3546356,59.699999999999996,100.0,1.46,0.3,0.88,3.28,5.56,2.34,3.51,0.8999999999999999,1.46,0.29,3.88,9.06,10.23,23.1,7.02,11.11,18.71,44.44,24.27,1.17,3.8,31.94,36.84,55.56,35.67,3.22,0.29,340.0,330.0,357.0,351.0,347.0,345.0
69006,1,724.0,721.0,742.0,830.0,801.0,904.0,53.0,183.0,50.0,257.0,69.0,139.0,2887.0,2760.0,2763.0,2422.0,2609.0,2410.0,3664.0,3664.0,3591.0,3591.0,3503.0,3506.0,2679.0,4858.0,0.0,0.0,36.0,82.0,24.0,53.0,19.76,19.68,20.66,23.11,22.87,25.78,1.45,4.99,1.39,7.16,1.97,3.96,0.0,0.0,1.0,2.28,0.69,1.51,80.24,80.32,79.34,76.89,77.13,74.22,21.0,78.0,26.0,1.7521368,3.0299401,6.2348485,22.0,21.0,7.0,1.046875,2.7266667,12.0,2.3846154,15.0,0.0,7.8396129,16.0559901,5.3519967,0.3375502,1.306157,1.7948427,4.5286126,4.3227666,1.4409222,0.1055371,1.1839424,2.4701523,1.4076726,3.0876904,0.0,62.489999999999995,100.0,1.42,0.24,0.84,2.29,6.73,2.91,3.64,2.01,2.0999999999999996,1.26,8.9,16.47,18.47,20.63,4.79,7.59,19.72,58.59,25.99,1.12,3.49,24.07,27.76,41.41,28.9,4.63,1.53,2940.0,2943.0,2849.0,2761.0,2702.0,2602.0
69007,1,269.0,281.0,310.0,361.0,405.0,457.0,34.0,92.0,36.0,153.0,25.0,112.0,1614.0,1544.0,1636.0,1435.0,1693.0,1539.0,1917.0,1917.0,1994.0,1994.0,2138.0,2138.0,1301.0,2760.0,0.0,0.0,12.0,45.0,15.0,30.0,14.03,14.66,15.55,18.1,18.94,21.38,1.77,4.8,1.81,7.67,1.17,5.24,0.0,0.0,0.6,2.26,0.7,1.4,85.97,85.34,84.45,81.9,81.06,78.62,5.0,10.0,14.0,0.0,3.0299401,6.2348485,2.721519,3.0404624,2.4517766,0.0,2.7266667,2.4964539,2.3846154,13.0,0.0,3.8443783,3.6231884,5.0724638,0.0,1.306157,1.7948427,1.4219906,1.9820933,1.0619796,0.0,1.1839424,1.5184457,1.4076726,4.7101449,0.0,64.75,100.0,2.84,0.31,1.29,2.42,7.4,2.78,3.25,1.37,2.01,1.6600000000000001,7.37,10.94,11.34,21.33,6.02,10.04,23.11,56.52,29.18,1.89,2.42,23.79,28.24,43.48,28.82,3.79,1.65,1648.0,1636.0,1684.0,1633.0,1733.0,1681.0
69008,1,43.0,44.0,55.0,61.0,71.0,88.0,8.0,22.0,10.0,43.0,4.0,14.0,393.0,378.0,398.0,350.0,417.0,386.0,444.0,444.0,466.0,464.0,494.0,494.0,300.0,674.0,0.0,0.0,3.0,10.0,2.0,6.0,9.68,9.91,11.8,13.15,14.37,17.81,1.8,4.95,2.15,9.27,0.81,2.83,0.0,0.0,0.64,2.16,0.4,1.21,90.32,90.09,88.2,86.85,85.63,82.19,2.6492537,3.3106061,4.2666667,0.0,3.0299401,0.0,0.0,3.0404624,2.4517766,0.0,0.0,0.0,2.3846154,0.0,0.0,5.1599952,3.5081804,5.0485131,0.0,1.306157,0.0,0.0,1.9820933,1.0619796,0.0,0.0,0.0,1.4076726,0.0,0.0,66.91,100.0,0.72,0.0,1.26,2.04,8.29,5.28,5.28,0.5,0.5,1.44,11.45,12.81,15.83,28.64,6.24,4.8,17.59,62.29,26.86,0.5,3.84,19.08,23.87,37.71,28.06,6.53,1.68,401.0,400.0,411.0,403.0,423.0,406.0
69009,1,565.0,592.0,868.0,978.0,1060.0,1289.0,59.0,176.0,56.0,304.0,77.0,231.0,3380.0,3236.0,3627.0,3208.0,3904.0,3463.0,4004.0,4004.0,4571.0,4571.0,5057.0,5059.0,3316.0,8139.0,0.0,0.0,20.0,81.0,16.0,76.0,14.11,14.79,18.99,21.4,20.96,25.48,1.47,4.4,1.23,6.65,1.52,4.57,0.0,0.0,0.44,1.77,0.32,1.5,85.89,85.21,81.01,78.6,79.04,74.52,30.0,59.0,59.0,1.7521368,49.0,6.2348485,31.0,42.0,11.0,1.046875,15.0,16.0,13.0,56.0,1.7640449,9.047255,7.2490478,7.2490478,0.3375502,6.0203956,1.7948427,3.8088217,5.1603391,1.3515174,0.1055371,1.8429783,1.9658435,1.5972478,6.8804521,0.3546356,70.12,100.0,1.26,0.27,1.1600000000000001,1.95,5.51,1.87,4.99,1.24,1.3,1.23,9.5,16.63,21.0,21.37,4.94,7.02,26.41,67.99,32.17,0.94,2.59,16.92,20.84,32.01,21.26,5.85,1.66,3439.0,3412.0,3703.0,3593.0,3997.0,3770.0
69010,1,674.0,732.0,901.0,1022.0,937.0,1154.0,65.0,165.0,72.0,276.0,48.0,215.0,3119.0,2961.0,3141.0,2747.0,3166.0,2738.0,3858.0,3858.0,4131.0,4131.0,4170.0,4172.0,3289.0,6469.0,0.0,0.0,17.0,86.0,19.0,65.0,17.47,18.97,21.81,24.74,22.47,27.66,1.68,4.28,1.74,6.68,1.15,5.15,0.0,0.0,0.41,2.08,0.46,1.56,82.53,81.03,78.19,75.26,77.53,72.34,19.0,87.0,44.0,1.7521368,16.0,10.0,26.0,16.0,13.0,1.046875,2.7266667,21.0,25.0,46.0,1.7640449,5.7761871,13.4487556,6.8016695,0.3375502,2.4733344,1.545834,4.0191683,2.4733344,2.0095842,0.1055371,1.1839424,3.2462514,3.8645849,7.1108363,0.3546356,68.28,100.0,2.72,0.42,1.15,2.4,6.72,1.99,6.6,1.25,1.56,0.9099999999999999,12.34,22.76,26.53,15.5,4.33,7.33,25.72,71.28,26.88,1.21,2.24,15.29,17.96,28.72,18.73,7.42,1.74,3184.0,3126.0,3230.0,3109.0,3233.0,3018.0
