id_commune,target_nuance,inscrits_2017_t2,abstentions_2017_t2,votants_2017_t2,blancs_2017_t2,nuls_2017_t2,exprimes_2017_t2,pct_abs_ins_2017_t2,pct_vot_ins_2017_t2,pct_blancs_ins_2017_t2,pct_nuls_ins_2017_t2,inscrits_2017_t1,abstentions_2017_t1,votants_2017_t1,blancs_2017_t1,nuls_2017_t1,exprimes_2017_t1,pct_abs_ins_2017_t1,pct_vot_ins_2017_t1,pct_blancs_ins_2017_t1,pct_nuls_ins_2017_t1,share_nuance_rem_2017_t2,share_nuance_rn_2017_t2,share_nuance_dlf_2017_t1,share_nuance_div_2017_t1,share_nuance_lr_2017_t1,share_nuance_rn_2017_t1,share_nuance_rem_2017_t1,share_nuance_soc_2017_t1,share_nuance_exg_2017_t1,share_nuance_res_2017_t1,share_nuance_fi_2017_t1,insee_pop,insee_log,sec_rate_cambriolages_de_logement,sec_count_cambriolages_de_logement,sec_rate_destructions_et_degradations_volontaires,sec_count_destructions_et_degradations_volontaires,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_count_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_rate_trafic_de_stupefiants,sec_count_trafic_de_stupefiants,sec_rate_usage_de_stupefiants,sec_count_usage_de_stupefiants,sec_rate_usage_de_stupefiants_afd,sec_count_usage_de_stupefiants_afd,sec_rate_violences_physiques_hors_cadre_familial,sec_count_violences_physiques_hors_cadre_familial,sec_rate_violences_physiques_intrafamiliales,sec_count_violences_physiques_intrafamiliales,sec_rate_violences_sexuelles,sec_count_violences_sexuelles,sec_rate_vols_avec_armes,sec_count_vols_avec_armes,sec_rate_vols_d_accessoires_sur_vehicules,sec_count_vols_d_accessoires_sur_vehicules,sec_rate_vols_dans_les_vehicules,sec_count_vols_dans_les_vehicules,sec_rate_vols_de_vehicule,sec_count_vols_de_vehicule,sec_rate_vols_sans_violence_contre_des_personnes,sec_count_vols_sans_violence_contre_des_personnes,sec_rate_vols_violents_sans_arme,sec_count_vols_violents_sans_arme
69001,RN,257.0,39.0,218.0,20.0,7.0,191.0,15.18,84.82,7.78,2.72,259.0,29.0,230.0,0.0,3.0,227.0,11.2,88.8,0.0,1.16,48.69,51.31,6.61,1.32,20.26,33.04,20.26,3.08,2.2,2.64,10.57,397.0,180.0,0.0,0.0,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9820933,3.0404624,0.0,0.0,0.0,0.0,1.1839424,2.7266667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69002,REM,224.0,51.0,173.0,13.0,11.0,149.0,22.77,77.23,5.8,4.91,224.0,47.0,177.0,4.0,3.0,170.0,20.98,79.02,1.79,1.34,56.38,43.62,7.65,0.59,28.24,29.41,20.0,2.94,1.76,0.59,8.82,239.0,193.0,0.0,0.0,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9820933,3.0404624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69003,REM,1665.0,402.0,1263.0,110.0,26.0,1127.0,24.14,75.86,6.61,1.56,1665.0,317.0,1348.0,24.0,4.0,1320.0,19.04,80.96,1.44,0.24,68.77,31.23,5.53,0.91,25.98,18.11,25.61,6.29,1.44,0.76,15.38,3013.0,1231.0,5.1599952,2.6492537,9.9568536,30.0,5.6422171,17.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,2.655161,8.0,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,2.9870561,9.0,1.9913707,6.0,5.9741122,18.0,0.3546356,1.7640449
69004,REM,455.0,95.0,360.0,42.0,4.0,314.0,20.88,79.12,9.23,0.88,455.0,82.0,373.0,11.0,2.0,360.0,18.02,81.98,2.42,0.44,64.97,35.03,8.06,2.5,16.67,24.44,26.67,6.67,0.83,0.83,13.33,772.0,296.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69005,RN,420.0,69.0,351.0,35.0,10.0,306.0,16.43,83.57,8.33,2.38,420.0,63.0,357.0,8.0,7.0,342.0,15.0,85.0,1.9,1.67,44.44,55.56,5.56,0.88,23.1,36.84,18.71,3.22,1.46,1.17,9.06,629.0,235.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.3546356,1.7640449
69006,RN,3591.0,830.0,2761.0,257.0,82.0,2422.0,23.11,76.89,7.16,2.28,3591.0,742.0,2849.0,50.0,36.0,2763.0,20.66,79.34,1.39,1.0,58.59,41.41,6.73,0.84,20.63,27.76,19.72,4.63,2.0999999999999996,1.12,16.47,4858.0,2679.0,7.8396129,21.0,16.0559901,78.0,5.3519967,26.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,4.5286126,22.0,4.3227666,21.0,1.4409222,7.0,0.1055371,1.046875,1.1839424,2.7266667,2.4701523,12.0,1.4076726,2.3846154,3.0876904,15.0,0.0,0.0
69007,REM,1994.0,361.0,1633.0,153.0,45.0,1435.0,18.1,81.9,7.67,2.26,1994.0,310.0,1684.0,36.0,12.0,1636.0,15.55,84.45,1.81,0.6,56.52,43.48,7.4,1.29,21.33,28.24,23.11,3.79,2.01,1.89,10.94,2760.0,1301.0,3.8443783,5.0,3.6231884,10.0,5.0724638,14.0,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,4.7101449,13.0,0.0,0.0
69008,RN,464.0,61.0,403.0,43.0,10.0,350.0,13.15,86.85,9.27,2.16,466.0,55.0,411.0,10.0,3.0,398.0,11.8,88.2,2.15,0.64,62.29,37.71,8.29,1.26,28.64,23.87,17.59,6.53,0.5,0.5,12.81,674.0,300.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,0.0,0.0,0.0,0.0,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,0.0,0.0,0.0,0.0,1.4076726,2.3846154,0.0,0.0,0.0,0.0
69009,REM,4571.0,978.0,3593.0,304.0,81.0,3208.0,21.4,78.6,6.65,1.77,4571.0,868.0,3703.0,56.0,20.0,3627.0,18.99,81.01,1.23,0.44,67.99,32.01,5.51,1.1600000000000001,21.37,20.84,26.41,5.85,1.3,0.94,16.63,8139.0,3316.0,9.047255,30.0,7.2490478,59.0,7.2490478,59.0,0.3375502,1.7521368,6.0203956,49.0,1.7948427,6.2348485,3.8088217,31.0,5.1603391,42.0,1.3515174,11.0,0.1055371,1.046875,1.8429783,15.0,1.9658435,16.0,1.5972478,13.0,6.8804521,56.0,0.3546356,1.7640449
69010,REM,4131.0,1022.0,3109.0,276.0,86.0,2747.0,24.74,75.26,6.68,2.08,4131.0,901.0,3230.0,72.0,17.0,3141.0,21.81,78.19,1.74,0.41,71.28,28.72,6.72,1.15,15.5,17.96,25.72,7.42,1.56,1.21,22.76,6469.0,3289.0,5.7761871,19.0,13.4487556,87.0,6.8016695,44.0,0.3375502,1.7521368,2.4733344,16.0,1.545834,10.0,4.0191683,26.0,2.4733344,16.0,2.0095842,13.0,0.1055371,1.046875,1.1839424,2.7266667,3.2462514,21.0,3.8645849,25.0,7.1108363,46.0,0.3546356,1.7640449
