Variable,Importance
share_nuance_fn_2022_t1,0.13308963749201963
share_nuance_fn_2017_t2,0.11623995520507334
share_nuance_rem_2017_t2,0.11019356082163566
share_nuance_rem_2017_t1,0.07362109973294105
share_nuance_fn_2017_t1,0.07303906388834151
share_nuance_fn_2012_t1,0.06707993858280793
share_nuance_eelv_2022_t1,0.03199095391152559
share_nuance_rem_2022_t1,0.030035776779418003
share_nuance_eco_2012_t1,0.01571934666902935
share_nuance_soc_2017_t1,0.015347848230191261
nuls_2022_t2,0.012067646600313859
votants_2022_t1,0.011654385957902124
inscrits_2022_t2,0.010157469231911171
votants_2012_t1,0.008416860960151464
share_nuance_dlf_2017_t1,0.008140415358859315
share_nuance_com_2022_t1,0.00808044455221058
share_nuance_soc_2012_t2,0.00807347071137684
inscrits_2012_t1,0.007485564902710607
exprimes_2022_t2,0.007443256093274749
abstentions_2012_t2,0.007349332653231489
exprimes_2017_t2,0.007312639920053845
exprimes_2017_t1,0.007231654371330606
sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement,0.006989826966714681
share_nuance_soc_2012_t1,0.006300872516559384
pct_abs_ins_2017_t1,0.006140698433224074
share_nuance_lr_2017_t1,0.0058843606288004335
share_nuance_exg_2012_t1,0.0058802509514394845
inscrits_2022_t1,0.005847483745228162
exprimes_2022_t1,0.005718083485479147
share_nuance_dlf_2022_t1,0.00538406582973698
votants_2012_t2,0.005377770747871997
exprimes_2012_t1,0.005348967970256195
nuls_2017_t2,0.00512930784943532
blancs_2022_t2,0.004888410202600918
share_nuance_ump_2012_t1,0.00483842442869929
pct_vot_ins_2017_t1,0.004805064505764454
share_nuance_res_2022_t1,0.00480419826453664
pct_nuls_ins_2017_t2,0.004614525027124696
votants_2017_t2,0.004599277581124005
pct_vot_ins_2022_t1,0.004558291805540111
sec_count_escroqueries_et_fraudes_aux_moyens_de_paiement,0.004508824629241473
exprimes_2012_t2,0.004381692883685984
share_nuance_div_2017_t1,0.0043326929355200754
pct_vot_ins_2012_t1,0.004327129074864996
pct_nuls_ins_2017_t1,0.004262040261730521
insee_pop,0.004031726279790106
share_nuance_fi_2017_t1,0.004009755462094023
share_nuance_ump_2012_t2,0.00399878433052434
pct_abs_ins_2017_t2,0.003960004735268671
pct_nuls_ins_2022_t1,0.003939202517075458
pct_abs_ins_2022_t2,0.00365044343344255
pct_blancs_ins_2022_t2,0.0036419982254023474
share_nuance_soc_2022_t1,0.003544640338837619
pct_vot_ins_2017_t2,0.003424034270116014
pct_blancs_ins_2017_t2,0.0033758287767163752
blancs_2022_t1,0.003373701998483894
share_nuance_exg_2022_t1,0.0030341286884653265
share_nuance_lr_2022_t1,0.0029174013336714525
pct_vot_ins_2022_t2,0.002907700766579683
pct_blancs_ins_2012_t2,0.002896369612402922
share_nuance_fi_2012_t1,0.002720980960620381
share_nuance_res_2017_t1,0.0026970431133631714
pct_vot_ins_2012_t2,0.0026845736059939794
pct_abs_ins_2022_t1,0.0026726067040351523
share_nuance_rec_2022_t1,0.0026187676767315004
pct_blancs_ins_2022_t1,0.002424633553531386
pct_abs_ins_2012_t2,0.00226867044153763
sec_count_destructions_et_degradations_volontaires,0.002046862374559522
abstentions_2022_t2,0.002028825277260125
share_nuance_modem_2012_t1,0.001876069119430768
abstentions_2022_t1,0.0018730670326822265
blancs_2017_t1,0.0017932669963151467
votants_2022_t2,0.0017494493552127116
abstentions_2017_t1,0.0017396538908078835
pct_nuls_ins_2022_t2,0.0015313229821619036
blancs_2017_t2,0.001516921906735288
blancs_2012_t2,0.0014200591688682887
sec_rate_vols_sans_violence_contre_des_personnes,0.0013619838469190171
