id_commune,target_nuance,inscrits_2012_t1,abstentions_2012_t1,votants_2012_t1,blancs_2012_t1,nuls_2012_t1,exprimes_2012_t1,pct_abs_ins_2012_t1,pct_vot_ins_2012_t1,pct_blancs_ins_2012_t1,pct_nuls_ins_2012_t1,inscrits_2012_t2,abstentions_2012_t2,votants_2012_t2,blancs_2012_t2,nuls_2012_t2,exprimes_2012_t2,pct_abs_ins_2012_t2,pct_vot_ins_2012_t2,pct_blancs_ins_2012_t2,pct_nuls_ins_2012_t2,inscrits_2017_t1,abstentions_2017_t1,votants_2017_t1,blancs_2017_t1,nuls_2017_t1,exprimes_2017_t1,pct_abs_ins_2017_t1,pct_vot_ins_2017_t1,pct_blancs_ins_2017_t1,pct_nuls_ins_2017_t1,inscrits_2017_t2,abstentions_2017_t2,votants_2017_t2,blancs_2017_t2,nuls_2017_t2,exprimes_2017_t2,pct_abs_ins_2017_t2,pct_vot_ins_2017_t2,pct_blancs_ins_2017_t2,pct_nuls_ins_2017_t2,inscrits_2022_t1,abstentions_2022_t1,votants_2022_t1,blancs_2022_t1,nuls_2022_t1,exprimes_2022_t1,pct_abs_ins_2022_t1,pct_vot_ins_2022_t1,pct_blancs_ins_2022_t1,pct_nuls_ins_2022_t1,inscrits_2022_t2,abstentions_2022_t2,votants_2022_t2,blancs_2022_t2,nuls_2022_t2,exprimes_2022_t2,pct_abs_ins_2022_t2,pct_vot_ins_2022_t2,pct_blancs_ins_2022_t2,pct_nuls_ins_2022_t2,share_nuance_eco_2012_t1,share_nuance_fn_2012_t1,share_nuance_ump_2012_t1,share_nuance_fi_2012_t1,share_nuance_exg_2012_t1,share_nuance_div_2012_t1,share_nuance_modem_2012_t1,share_nuance_dlf_2012_t1,share_nuance_soc_2012_t1,share_nuance_soc_2012_t2,share_nuance_ump_2012_t2,share_nuance_dlf_2017_t1,share_nuance_div_2017_t1,share_nuance_lr_2017_t1,share_nuance_fn_2017_t1,share_nuance_rem_2017_t1,share_nuance_soc_2017_t1,share_nuance_exg_2017_t1,share_nuance_res_2017_t1,share_nuance_fi_2017_t1,share_nuance_rem_2017_t2,share_nuance_fn_2017_t2,share_nuance_exg_2022_t1,share_nuance_lr_2022_t1,share_nuance_dlf_2022_t1,share_nuance_com_2022_t1,share_nuance_rem_2022_t1,share_nuance_res_2022_t1,share_nuance_fn_2022_t1,share_nuance_rec_2022_t1,share_nuance_fi_2022_t1,share_nuance_soc_2022_t1,share_nuance_eelv_2022_t1,insee_pop,insee_log,sec_rate_cambriolages_de_logement,sec_count_cambriolages_de_logement,sec_rate_destructions_et_degradations_volontaires,sec_count_destructions_et_degradations_volontaires,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_count_escroqueries_et_fraudes_aux_moyens_de_paiement,sec_rate_trafic_de_stupefiants,sec_count_trafic_de_stupefiants,sec_rate_usage_de_stupefiants,sec_count_usage_de_stupefiants,sec_rate_usage_de_stupefiants_afd,sec_count_usage_de_stupefiants_afd,sec_rate_violences_physiques_hors_cadre_familial,sec_count_violences_physiques_hors_cadre_familial,sec_rate_violences_physiques_intrafamiliales,sec_count_violences_physiques_intrafamiliales,sec_rate_violences_sexuelles,sec_count_violences_sexuelles,sec_rate_vols_avec_armes,sec_count_vols_avec_armes,sec_rate_vols_d_accessoires_sur_vehicules,sec_count_vols_d_accessoires_sur_vehicules,sec_rate_vols_dans_les_vehicules,sec_count_vols_dans_les_vehicules,sec_rate_vols_de_vehicule,sec_count_vols_de_vehicule,sec_rate_vols_sans_violence_contre_des_personnes,sec_count_vols_sans_violence_contre_des_personnes,sec_rate_vols_violents_sans_arme,sec_count_vols_violents_sans_arme
69001,FN,250.0,25.0,225.0,7.0,0.0,218.0,10.0,90.0,2.8,0.0,250.0,26.0,224.0,17.0,0.0,207.0,10.4,89.6,6.8,0.0,259.0,29.0,230.0,0.0,3.0,227.0,11.2,88.8,0.0,1.16,257.0,39.0,218.0,20.0,7.0,191.0,15.18,84.82,7.78,2.72,316.0,60.0,256.0,4.0,2.0,250.0,18.99,81.01,1.27,0.63,316.0,49.0,267.0,21.0,9.0,237.0,15.51,84.49,6.65,2.85,1.38,27.98,31.19,5.5,2.75,0.0,13.3,6.42,11.47,28.02,71.98,6.61,1.32,20.26,33.04,20.26,3.08,2.2,2.64,10.57,48.69,51.31,0.0,6.8,4.4,1.6,23.2,6.8,35.2,8.8,10.8,0.0,2.4,397.0,180.0,0.0,0.0,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9820933,3.0404624,0.0,0.0,0.0,0.0,1.1839424,2.7266667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69002,FN,224.0,42.0,182.0,6.0,0.0,176.0,18.75,81.25,2.68,0.0,224.0,43.0,181.0,19.0,0.0,162.0,19.2,80.8,8.48,0.0,224.0,47.0,177.0,4.0,3.0,170.0,20.98,79.02,1.79,1.34,224.0,51.0,173.0,13.0,11.0,149.0,22.77,77.23,5.8,4.91,217.0,58.0,159.0,5.0,1.0,153.0,26.73,73.27,2.3,0.46,217.0,47.0,170.0,9.0,4.0,157.0,21.66,78.34,4.15,1.84,2.27,34.66,33.52,5.11,1.71,1.14,15.91,0.0,5.68,20.37,79.63,7.65,0.59,28.24,29.41,20.0,2.94,1.76,0.59,8.82,56.38,43.62,1.96,9.8,4.58,1.31,31.37,5.23,31.37,5.88,5.88,1.31,1.31,239.0,193.0,0.0,0.0,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9820933,3.0404624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69003,REM,1583.0,272.0,1311.0,24.0,0.0,1287.0,17.18,82.82,1.52,0.0,1583.0,263.0,1320.0,62.0,0.0,1258.0,16.61,83.39,3.92,0.0,1665.0,317.0,1348.0,24.0,4.0,1320.0,19.04,80.96,1.44,0.24,1665.0,402.0,1263.0,110.0,26.0,1127.0,24.14,75.86,6.61,1.56,1861.0,418.0,1443.0,17.0,10.0,1416.0,22.46,77.54,0.91,0.54,1860.0,504.0,1356.0,81.0,18.0,1257.0,27.1,72.9,4.35,0.97,2.41,16.78,35.82,7.61,1.63,0.7,10.57,1.48,23.0,40.3,59.7,5.53,0.91,25.98,18.11,25.61,6.29,1.44,0.76,15.38,68.77,31.23,0.77,6.21,1.55,1.06,32.49,2.9,19.63,8.55,19.14,1.55,6.14,3013.0,1231.0,5.1599952,2.6492537,9.9568536,30.0,5.6422171,17.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,2.655161,8.0,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,2.9870561,9.0,1.9913707,6.0,5.9741122,18.0,0.3546356,1.7640449
69004,REM,417.0,49.0,368.0,9.0,0.0,359.0,11.75,88.25,2.16,0.0,417.0,58.0,359.0,27.0,0.0,332.0,13.91,86.09,6.47,0.0,455.0,82.0,373.0,11.0,2.0,360.0,18.02,81.98,2.42,0.44,455.0,95.0,360.0,42.0,4.0,314.0,20.88,79.12,9.23,0.88,470.0,73.0,397.0,6.0,2.0,389.0,15.53,84.47,1.28,0.43,470.0,95.0,375.0,35.0,4.0,336.0,20.21,79.79,7.45,0.85,3.06,22.28,31.75,8.08,2.23,0.56,9.75,2.51,19.78,43.98,56.02,8.06,2.5,16.67,24.44,26.67,6.67,0.83,0.83,13.33,64.97,35.03,0.26,6.43,2.57,2.83,28.79,2.06,26.22,9.25,13.62,1.29,6.68,772.0,296.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.0,0.0
69005,FN,389.0,49.0,340.0,5.0,0.0,335.0,12.6,87.4,1.29,0.0,389.0,59.0,330.0,20.0,0.0,310.0,15.17,84.83,5.14,0.0,420.0,63.0,357.0,8.0,7.0,342.0,15.0,85.0,1.9,1.67,420.0,69.0,351.0,35.0,10.0,306.0,16.43,83.57,8.33,2.38,407.0,60.0,347.0,4.0,1.0,342.0,14.74,85.26,0.98,0.25,407.0,62.0,345.0,10.0,3.0,332.0,15.23,84.77,2.46,0.74,1.19,31.94,35.22,3.88,0.8999999999999999,0.3,6.87,3.28,16.42,29.68,70.32,5.56,0.88,23.1,36.84,18.71,3.22,1.46,1.17,9.06,44.44,55.56,0.29,7.02,2.34,1.46,24.27,3.8,35.67,11.11,10.23,0.29,3.51,629.0,235.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,2.2745888,2.6805556,0.3546356,1.7640449
69006,REM,3664.0,724.0,2940.0,53.0,0.0,2887.0,19.76,80.24,1.45,0.0,3664.0,721.0,2943.0,183.0,0.0,2760.0,19.68,80.32,4.99,0.0,3591.0,742.0,2849.0,50.0,36.0,2763.0,20.66,79.34,1.39,1.0,3591.0,830.0,2761.0,257.0,82.0,2422.0,23.11,76.89,7.16,2.28,3503.0,801.0,2702.0,69.0,24.0,2609.0,22.87,77.13,1.97,0.69,3506.0,904.0,2602.0,139.0,53.0,2410.0,25.78,74.22,3.96,1.51,1.77,24.07,29.75,8.9,2.01,0.24,11.36,2.29,19.61,41.45,58.55,6.73,0.84,20.63,27.76,19.72,4.63,2.0999999999999996,1.12,16.47,58.59,41.41,1.26,4.79,2.91,1.42,25.99,3.49,28.9,7.59,18.47,1.53,3.64,4858.0,2679.0,7.8396129,21.0,16.0559901,78.0,5.3519967,26.0,0.3375502,1.7521368,1.306157,3.0299401,1.7948427,6.2348485,4.5286126,22.0,4.3227666,21.0,1.4409222,7.0,0.1055371,1.046875,1.1839424,2.7266667,2.4701523,12.0,1.4076726,2.3846154,3.0876904,15.0,0.0,0.0
69007,REM,1917.0,269.0,1648.0,34.0,0.0,1614.0,14.03,85.97,1.77,0.0,1917.0,281.0,1636.0,92.0,0.0,1544.0,14.66,85.34,4.8,0.0,1994.0,310.0,1684.0,36.0,12.0,1636.0,15.55,84.45,1.81,0.6,1994.0,361.0,1633.0,153.0,45.0,1435.0,18.1,81.9,7.67,2.26,2138.0,405.0,1733.0,25.0,15.0,1693.0,18.94,81.06,1.17,0.7,2138.0,457.0,1681.0,112.0,30.0,1539.0,21.38,78.62,5.24,1.4,2.48,23.79,31.47,7.37,1.37,0.31,10.35,2.42,20.45,37.37,62.63,7.4,1.29,21.33,28.24,23.11,3.79,2.01,1.89,10.94,56.52,43.48,1.6600000000000001,6.02,2.78,2.84,29.18,2.42,28.82,10.04,11.34,1.65,3.25,2760.0,1301.0,3.8443783,5.0,3.6231884,10.0,5.0724638,14.0,0.0,0.0,1.306157,3.0299401,1.7948427,6.2348485,1.4219906,2.721519,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,1.1839424,2.7266667,1.5184457,2.4964539,1.4076726,2.3846154,4.7101449,13.0,0.0,0.0
69008,REM,444.0,43.0,401.0,8.0,0.0,393.0,9.68,90.32,1.8,0.0,444.0,44.0,400.0,22.0,0.0,378.0,9.91,90.09,4.95,0.0,466.0,55.0,411.0,10.0,3.0,398.0,11.8,88.2,2.15,0.64,464.0,61.0,403.0,43.0,10.0,350.0,13.15,86.85,9.27,2.16,494.0,71.0,423.0,4.0,2.0,417.0,14.37,85.63,0.81,0.4,494.0,88.0,406.0,14.0,6.0,386.0,17.81,82.19,2.83,1.21,3.31,19.08,35.62,11.45,0.5,0.0,11.7,2.04,16.28,35.71,64.29,8.29,1.26,28.64,23.87,17.59,6.53,0.5,0.5,12.81,62.29,37.71,1.44,6.24,5.28,0.72,26.86,3.84,28.06,4.8,15.83,1.68,5.28,674.0,300.0,5.1599952,2.6492537,3.5081804,3.3106061,5.0485131,4.2666667,0.0,0.0,1.306157,3.0299401,0.0,0.0,0.0,0.0,1.9820933,3.0404624,1.0619796,2.4517766,0.0,0.0,0.0,0.0,0.0,0.0,1.4076726,2.3846154,0.0,0.0,0.0,0.0
69009,REM,4004.0,565.0,3439.0,59.0,0.0,3380.0,14.11,85.89,1.47,0.0,4004.0,592.0,3412.0,176.0,0.0,3236.0,14.79,85.21,4.4,0.0,4571.0,868.0,3703.0,56.0,20.0,3627.0,18.99,81.01,1.23,0.44,4571.0,978.0,3593.0,304.0,81.0,3208.0,21.4,78.6,6.65,1.77,5057.0,1060.0,3997.0,77.0,16.0,3904.0,20.96,79.04,1.52,0.32,5059.0,1289.0,3770.0,231.0,76.0,3463.0,25.48,74.52,4.57,1.5,2.57,16.92,31.57,9.5,1.24,0.27,10.89,1.95,25.09,45.18,54.82,5.51,1.1600000000000001,21.37,20.84,26.41,5.85,1.3,0.94,16.63,67.99,32.01,1.23,4.94,1.87,1.26,32.17,2.59,21.26,7.02,21.0,1.66,4.99,8139.0,3316.0,9.047255,30.0,7.2490478,59.0,7.2490478,59.0,0.3375502,1.7521368,6.0203956,49.0,1.7948427,6.2348485,3.8088217,31.0,5.1603391,42.0,1.3515174,11.0,0.1055371,1.046875,1.8429783,15.0,1.9658435,16.0,1.5972478,13.0,6.8804521,56.0,0.3546356,1.7640449
69010,REM,3858.0,674.0,3184.0,65.0,0.0,3119.0,17.47,82.53,1.68,0.0,3858.0,732.0,3126.0,165.0,0.0,2961.0,18.97,81.03,4.28,0.0,4131.0,901.0,3230.0,72.0,17.0,3141.0,21.81,78.19,1.74,0.41,4131.0,1022.0,3109.0,276.0,86.0,2747.0,24.74,75.26,6.68,2.08,4170.0,937.0,3233.0,48.0,19.0,3166.0,22.47,77.53,1.15,0.46,4172.0,1154.0,3018.0,215.0,65.0,2738.0,27.66,72.34,5.15,1.56,3.01,15.29,24.94,12.34,1.25,0.42,12.66,2.4,27.67,53.29,46.71,6.72,1.15,15.5,17.96,25.72,7.42,1.56,1.21,22.76,71.28,28.72,0.9099999999999999,4.33,1.99,2.72,26.88,2.24,18.73,7.33,26.53,1.74,6.6,6469.0,3289.0,5.7761871,19.0,13.4487556,87.0,6.8016695,44.0,0.3375502,1.7521368,2.4733344,16.0,1.545834,10.0,4.0191683,26.0,2.4733344,16.0,2.0095842,13.0,0.1055371,1.046875,1.1839424,2.7266667,3.2462514,21.0,3.8645849,25.0,7.1108363,46.0,0.3546356,1.7640449
