Variable,Importance
share_nuance_rn_2017_t2,0.1352504271606157
share_nuance_rem_2017_t2,0.10974280340255775
share_nuance_rn_2012_t1,0.07558429995235491
share_nuance__2012_t1,0.06475716679120512
share_nuance_rn_2017_t1,0.05261158057678777
share_nuance_rem_2017_t1,0.04944093036467191
share_nuance_dlf_2017_t1,0.03453677196634593
share_nuance_soc_2017_t1,0.02300152586125161
share_nuance_exg_2012_t1,0.016756508800189536
pct_abs_ins_2017_t1,0.0162698012374328
pct_vot_ins_2017_t1,0.01496519754036019
inscrits_2012_t2,0.014863123884404212
exprimes_2012_t2,0.014568427900173046
pct_blancs_ins_2012_t2,0.01446729769073752
exprimes_2017_t2,0.014279990395035228
votants_2012_t2,0.013275515211152916
nuls_2022_t2,0.013169297173851346
pct_abs_ins_2012_t2,0.012443017877759479
exprimes_2022_t2,0.011634829184174439
pct_abs_ins_2017_t2,0.010351129742810744
pct_nuls_ins_2017_t1,0.010238525260680333
blancs_2022_t2,0.009504062757891979
pct_vot_ins_2012_t1,0.009133451944038648
votants_2012_t1,0.008865357845846696
votants_2022_t2,0.008843945488177686
inscrits_2017_t1,0.008821338025575227
pct_nuls_ins_2017_t2,0.008560881353524142
nuls_2017_t1,0.008511562155319985
pct_vot_ins_2022_t2,0.008490207413698431
pct_vot_ins_2017_t2,0.008248392542895262
pct_blancs_ins_2017_t1,0.007892346066538356
share_nuance_exg_2017_t1,0.007724635932319639
sec_count_escroqueries_et_fraudes_aux_moyens_de_paiement,0.0075589196184927725
pct_abs_ins_2012_t1,0.007514388477193627
insee_pop,0.006926219645163848
inscrits_2012_t1,0.00672408190344774
exprimes_2017_t1,0.0066750359590774305
votants_2017_t1,0.006633829274914875
exprimes_2012_t1,0.006247819017059077
share_nuance_fi_2012_t1,0.0061516319212650055
sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement,0.005984088928741023
pct_abs_ins_2022_t2,0.005948980641814393
share_nuance_lr_2017_t1,0.005650156432901515
votants_2017_t2,0.005364662293773002
blancs_2017_t2,0.005144570678337661
blancs_2012_t2,0.005079787696294292
share_nuance_fi_2017_t1,0.004976809626998219
share_nuance_div_2017_t1,0.004877060777509274
pct_nuls_ins_2022_t2,0.004145167212453244
insee_log,0.0040722366351493245
blancs_2012_t1,0.0040394603834442095
pct_blancs_ins_2017_t2,0.003988211567523339
share_nuance_dlf_2012_t1,0.003893153584337873
abstentions_2012_t1,0.003712143841758898
blancs_2017_t1,0.003647702866493685
inscrits_2022_t2,0.0033584199124317227
abstentions_2012_t2,0.003353204563139222
pct_blancs_ins_2012_t1,0.0033174974661457526
abstentions_2022_t2,0.0031992287511564987
pct_blancs_ins_2022_t2,0.0031983815564601385
abstentions_2017_t2,0.0030430330686910204
nuls_2017_t2,0.0030386056934669186
share_nuance_res_2017_t1,0.00258448812501847
sec_rate_vols_sans_violence_contre_des_personnes,0.0024764421264644085
pct_vot_ins_2012_t2,0.0024408058263224192
sec_count_usage_de_stupefiants_afd,0.0021961029292504354
sec_rate_violences_physiques_intrafamiliales,0.002179121959614697
sec_count_violences_physiques_hors_cadre_familial,0.002094661386442291
abstentions_2017_t1,0.001915919517941978
sec_rate_destructions_et_degradations_volontaires,0.0018882809957729803
share_nuance_div_2012_t1,0.0018612722057513367
sec_rate_usage_de_stupefiants,0.0016548394355243746
sec_count_cambriolages_de_logement,0.0015255362843895337
sec_rate_usage_de_stupefiants_afd,0.0015003258396901
sec_rate_vols_d_accessoires_sur_vehicules,0.0014012144653104278
sec_count_vols_de_vehicule,0.0013310326957010556
inscrits_2017_t2,0.0011641116747360188
sec_rate_violences_physiques_hors_cadre_familial,0.0009548048694389636
sec_rate_cambriolages_de_logement,0.000770365730246755
sec_rate_violences_sexuelles,0.0007584947027651713
sec_count_violences_physiques_intrafamiliales,0.00069189878277529
sec_count_vols_sans_violence_contre_des_personnes,0.000661032323951611
sec_rate_trafic_de_stupefiants,0.0005804321917715876
sec_count_vols_violents_sans_arme,0.0005578047979969838
sec_count_violences_sexuelles,0.0005213413245267064
sec_rate_vols_dans_les_vehicules,0.0005087218160846633
sec_count_trafic_de_stupefiants,0.0003585748823599432
sec_rate_vols_avec_armes,0.00035585526242836146
sec_rate_vols_violents_sans_arme,0.0002533943204721321
sec_rate_vols_de_vehicule,0.0002052823506110722
sec_count_vols_d_accessoires_sur_vehicules,0.00017863648191517392
sec_count_usage_de_stupefiants,0.00016036519871106506
sec_count_vols_avec_armes,2.8904543190571992e-18
sec_count_destructions_et_degradations_volontaires,9.321851700318402e-19
nuls_2012_t2,0.0
nuls_2012_t1,0.0
pct_nuls_ins_2012_t1,0.0
pct_nuls_ins_2012_t2,0.0
share_nuance__2012_t2,0.0
sec_count_vols_dans_les_vehicules,0.0
