id_commune,target_macron_wins_2022_t2,abstentions_2017_t1,abstentions_2017_t2,blancs_2017_t1,blancs_2017_t2,exprimes_2017_t1,exprimes_2017_t2,inscrits_2017_t1,inscrits_2017_t2,insee_log_2021,insee_log_2022,insee_pop_2021,insee_pop_2022,nuls_2017_t1,nuls_2017_t2,pct_abs_ins_2017_t1,pct_abs_ins_2017_t2,pct_blancs_ins_2017_t1,pct_blancs_ins_2017_t2,pct_nuls_ins_2017_t1,pct_nuls_ins_2017_t2,pct_vot_ins_2017_t1,pct_vot_ins_2017_t2,sec_rate_cambriolages_de_logement_2021,sec_rate_cambriolages_de_logement_2022,sec_rate_destructions_et_degradations_volontaires_2021,sec_rate_destructions_et_degradations_volontaires_2022,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement_2021,sec_rate_escroqueries_et_fraudes_aux_moyens_de_paiement_2022,sec_rate_trafic_de_stupefiants_2021,sec_rate_trafic_de_stupefiants_2022,sec_rate_usage_de_stupefiants_2021,sec_rate_usage_de_stupefiants_2022,sec_rate_usage_de_stupefiants_afd_2021,sec_rate_usage_de_stupefiants_afd_2022,sec_rate_violences_physiques_hors_cadre_familial_2021,sec_rate_violences_physiques_hors_cadre_familial_2022,sec_rate_violences_physiques_intrafamiliales_2021,sec_rate_violences_physiques_intrafamiliales_2022,sec_rate_violences_sexuelles_2021,sec_rate_violences_sexuelles_2022,sec_rate_vols_avec_armes_2021,sec_rate_vols_avec_armes_2022,sec_rate_vols_d_accessoires_sur_vehicules_2021,sec_rate_vols_d_accessoires_sur_vehicules_2022,sec_rate_vols_dans_les_vehicules_2021,sec_rate_vols_dans_les_vehicules_2022,sec_rate_vols_de_vehicule_2021,sec_rate_vols_de_vehicule_2022,sec_rate_vols_sans_violence_contre_des_personnes_2021,sec_rate_vols_sans_violence_contre_des_personnes_2022,sec_rate_vols_violents_sans_arme_2021,sec_rate_vols_violents_sans_arme_2022,share_arthaud_2017_t1,share_asselineau_2017_t1,share_cheminade_2017_t1,share_dupont_aignan_2017_t1,share_fillon_2017_t1,share_hamon_2017_t1,share_lassalle_2017_t1,share_le_pen_2017_t1,share_le_pen_2017_t2,share_macron_2017_t1,share_macron_2017_t2,share_melenchon_2017_t1,share_poutou_2017_t1,votants_2017_t1,votants_2017_t2
69-001,0,29.0,39.0,0.0,20.0,227.0,191.0,259.0,257.0,180.0,180.0,395.0,397.0,3.0,7.0,11.2,15.18,0.0,7.78,1.16,2.72,88.8,84.82,0.0,0.0,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6599958,1.9820933,0.0,0.0,0.0,0.0,0.0,1.1839424,1.6728256,0.0,0.0,0.0,2.0730405,0.0,0.0,0.0,0.44,1.32,0.0,6.61,20.26,3.08,2.64,33.04,51.31,20.26,48.69,10.57,1.76,230.0,218.0
69-002,0,47.0,51.0,4.0,13.0,170.0,149.0,224.0,224.0,193.0,193.0,243.0,239.0,3.0,11.0,20.98,22.77,1.79,5.8,1.34,4.91,79.02,77.23,0.0,0.0,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9820933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3269747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,7.65,28.24,2.94,0.59,29.41,43.62,20.0,56.38,8.82,1.76,177.0,173.0
69-003,1,317.0,402.0,24.0,110.0,1320.0,1127.0,1665.0,1665.0,1231.0,1231.0,2991.0,3013.0,4.0,26.0,19.04,24.14,1.44,6.61,0.24,1.56,80.96,75.86,5.4772311,5.1599952,6.0180542,9.9568536,4.6807088,5.6422171,0.2719703,0.3375502,1.1568634,1.306157,1.1494177,1.7948427,1.448111,1.4219906,1.6599958,2.655161,0.9771534,1.0619796,0.1021803,0.0,1.0621681,1.1839424,1.6728256,2.9870561,2.6746907,1.9913707,7.6897359,5.9741122,0.2640282,0.3546356,0.3,0.76,0.15,5.53,25.98,6.29,0.76,18.11,31.23,25.61,68.77,15.38,1.14,1348.0,1263.0
69-004,1,82.0,95.0,11.0,42.0,360.0,314.0,455.0,455.0,296.0,296.0,766.0,772.0,2.0,4.0,18.02,20.88,2.42,9.23,0.44,0.88,81.98,79.12,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,1.1568634,1.306157,1.1494177,1.7948427,1.448111,1.4219906,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.0,0.0,0.83,2.22,0.28,8.06,16.67,6.67,0.83,24.44,35.03,26.67,64.97,13.33,0.0,373.0,360.0
69-005,0,63.0,69.0,8.0,35.0,342.0,306.0,420.0,420.0,235.0,235.0,607.0,629.0,7.0,10.0,15.0,16.43,1.9,8.33,1.67,2.38,85.0,83.57,5.4772311,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,1.1568634,1.306157,1.1494177,1.7948427,1.448111,1.4219906,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,1.6728256,1.5184457,1.3269747,1.4076726,2.0730405,2.2745888,0.0,0.3546356,0.29,0.88,0.0,5.56,23.1,3.22,1.17,36.84,55.56,18.71,44.44,9.06,1.17,357.0,351.0
69-006,1,742.0,830.0,50.0,257.0,2763.0,2422.0,3591.0,3591.0,2679.0,2679.0,4840.0,4858.0,36.0,82.0,20.66,23.11,1.39,7.16,1.0,2.28,79.34,76.89,3.733149,7.8396129,7.6446281,16.0559901,4.338843,5.3519967,0.0,0.3375502,1.1568634,1.306157,1.1494177,1.7948427,3.9256198,4.5286126,4.7520661,4.3227666,0.9771534,1.4409222,0.1021803,0.1055371,1.0621681,1.1839424,2.2727273,2.4701523,2.2727273,1.4076726,4.1322314,3.0876904,0.0,0.0,1.16,0.62,0.22,6.73,20.63,4.63,1.12,27.76,41.41,19.72,58.59,16.47,0.94,2849.0,2761.0
69-007,1,310.0,361.0,36.0,153.0,1636.0,1435.0,1994.0,1994.0,1301.0,1301.0,2751.0,2760.0,12.0,45.0,15.55,18.1,1.81,7.67,0.6,2.26,84.45,81.9,9.9953837,3.8443783,4.3620502,3.6231884,8.3605961,5.0724638,0.2719703,0.0,1.1568634,1.306157,1.1494177,1.7948427,1.448111,1.4219906,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,1.0621681,1.1839424,2.5445293,1.5184457,1.3269747,1.4076726,3.998546,4.7101449,0.0,0.0,0.73,0.86,0.43,7.4,21.33,3.79,1.89,28.24,43.48,23.11,56.52,10.94,1.28,1684.0,1633.0
69-008,1,55.0,61.0,10.0,43.0,398.0,350.0,466.0,464.0,300.0,300.0,677.0,674.0,3.0,10.0,11.8,13.15,2.15,9.27,0.64,2.16,88.2,86.85,0.0,5.1599952,3.4469802,3.5081804,4.6269327,5.0485131,0.0,0.0,1.1568634,1.306157,0.0,0.0,0.0,0.0,1.6599958,1.9820933,0.9771534,1.0619796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4076726,2.0730405,0.0,0.0,0.0,0.25,1.01,0.25,8.29,28.64,6.53,0.5,23.87,37.71,17.59,62.29,12.81,0.25,411.0,403.0
69-009,1,868.0,978.0,56.0,304.0,3627.0,3208.0,4571.0,4571.0,3316.0,3316.0,7947.0,8139.0,20.0,81.0,18.99,21.4,1.23,6.65,0.44,1.77,81.01,78.6,6.0315033,9.047255,7.9275198,7.2490478,4.9075123,7.2490478,0.2719703,0.3375502,4.4041777,6.0203956,1.1494177,1.7948427,3.0200076,3.8088217,3.0200076,5.1603391,0.7550019,1.3515174,0.1021803,0.1055371,2.0133384,1.8429783,5.2850132,1.9658435,1.7616711,1.5972478,6.417516,6.8804521,0.2640282,0.3546356,0.25,0.91,0.25,5.51,21.37,5.85,0.94,20.84,32.01,26.41,67.99,16.63,1.05,3703.0,3593.0
69-010,1,901.0,1022.0,72.0,276.0,3141.0,2747.0,4131.0,4131.0,3289.0,3289.0,6453.0,6469.0,17.0,86.0,21.81,24.74,1.74,6.68,0.41,2.08,78.19,75.26,6.0801969,5.7761871,6.818534,13.4487556,6.353634,6.8016695,0.2719703,0.3375502,3.409267,2.4733344,2.0145669,1.545834,4.6490005,4.0191683,4.0291337,2.4733344,1.2397335,2.0095842,0.1021803,0.1055371,1.0621681,1.1839424,4.3390671,3.2462514,3.0993336,3.8645849,6.9735007,7.1108363,0.2640282,0.3546356,0.67,0.99,0.16,6.72,15.5,7.42,1.21,17.96,28.72,25.72,71.28,22.76,0.89,3230.0,3109.0
